customer_id,recency,frequency,monetary,R_Score,F_Score,M_Score,RFM_Segment_Code,RFM_Score,Segment,Cluster
69,9,5,12381.990000000002,5,3,5,535,13,Loyal Customers,3
70,81,6,7853.81,3,4,3,343,10,Loyal Customers,0
71,46,3,4164.4400000000005,3,1,2,312,6,Potential Loyalists,4
72,38,2,2434.1400000000003,4,1,1,411,6,New Customers,2
73,118,5,15402.08,2,3,5,235,10,Need Attention,0
74,12,2,1413.9099999999999,5,1,1,511,7,New Customers,1
75,238,3,8395.52,1,1,4,114,6,Lost Customers,4
76,120,4,4443.34,2,2,2,222,6,Need Attention,4
77,72,2,4029.87,3,1,2,312,6,Potential Loyalists,4
78,173,2,5650.8200000000015,2,1,3,213,6,Lost Customers,4
79,22,6,12006.420000000002,4,4,4,444,12,Champions,3
80,137,4,7122.889999999999,2,2,3,223,7,Need Attention,4
81,29,3,5604.2699999999995,4,1,2,412,7,Potential Loyalists,1
82,156,5,6122.68,2,3,3,233,8,Need Attention,0
83,103,9,8639.119999999999,2,5,4,254,11,Need Attention,0
84,25,4,4841.3099999999995,4,2,2,422,8,Potential Loyalists,1
85,27,6,6967.52,4,4,3,443,11,Loyal Customers,3
86,110,3,2008.25,2,1,1,211,4,Lost Customers,4
87,18,3,2590.94,4,1,1,411,6,New Customers,1
88,53,7,14257.43,3,4,5,345,12,Loyal Customers,0
89,314,3,3270.39,1,1,2,112,4,Lost Customers,4
90,114,11,21487.14,2,5,5,255,12,Need Attention,0
91,101,4,3899.38,2,2,2,222,6,Need Attention,4
92,435,6,9487.57,1,4,4,144,9,At Risk,0
93,17,1,480.05,4,1,1,411,6,New Customers,2
94,2,4,7561.360000000001,5,2,3,523,10,Potential Loyalists,1
95,130,3,4354.15,2,1,2,212,5,Lost Customers,4
96,75,6,8372.99,3,4,4,344,11,Loyal Customers,0
97,50,3,4611.530000000001,3,1,2,312,6,Potential Loyalists,4
98,15,5,11246.060000000001,5,3,4,534,12,Loyal Customers,3
99,607,6,8341.970000000001,1,4,4,144,9,At Risk,0
100,64,9,11496.169999999998,3,5,4,354,12,Loyal Customers,0
101,124,4,8539.11,2,2,4,224,8,Need Attention,0
102,56,5,13058.7,3,3,5,335,11,Loyal Customers,0
103,5,6,7536.09,5,4,3,543,12,Loyal Customers,3
104,6,4,7204.360000000001,5,2,3,523,10,Potential Loyalists,1
105,134,6,6781.08,2,4,3,243,9,Need Attention,0
106,19,8,14017.23,4,5,5,455,14,Champions,3
107,78,7,8127.14,3,4,3,343,10,Loyal Customers,0
108,166,3,6108.2699999999995,2,1,3,213,6,Lost Customers,4
109,40,6,20317.66,4,4,5,445,13,Champions,0
110,103,7,17654.86,2,4,5,245,11,Need Attention,0
111,2,8,14828.329999999998,5,5,5,555,15,Champions,3
112,365,2,8346.49,1,1,4,114,6,Lost Customers,4
113,26,6,15185.78,4,4,5,445,13,Champions,3
114,173,4,4988.910000000001,2,2,2,222,6,Need Attention,4
115,7,5,5759.0199999999995,5,3,3,533,11,Loyal Customers,1
116,39,7,19671.9,4,4,5,445,13,Champions,0
117,36,7,5886.95,4,4,3,443,11,Loyal Customers,0
118,32,8,16529.25,4,5,5,455,14,Champions,3
119,5,9,6187.38,5,5,3,553,13,Loyal Customers,3
120,8,5,2588.2299999999996,5,3,1,531,9,Promising,1
121,5,7,5821.679999999999,5,4,3,543,12,Loyal Customers,3
122,36,4,10610.35,4,2,4,424,10,Potential Loyalists,0
123,18,7,16990.84,4,4,5,445,13,Champions,3
124,39,2,4321.01,4,1,2,412,7,Potential Loyalists,4
125,5,6,11445.72,5,4,4,544,13,Champions,3
126,201,5,14959.45,1,3,5,135,9,At Risk,0
127,41,7,17671.44,4,4,5,445,13,Champions,0
128,100,3,7584.3099999999995,2,1,3,213,6,Lost Customers,4
129,159,5,5826.7699999999995,2,3,3,233,8,Need Attention,0
130,143,8,12214.09,2,5,5,255,12,Need Attention,0
131,124,5,12115.220000000001,2,3,4,234,9,Need Attention,0
133,19,4,2300.2,4,2,1,421,7,New Customers,1
134,17,5,7754.74,4,3,3,433,10,Loyal Customers,3
135,96,7,10565.15,2,4,4,244,10,Need Attention,0
137,104,7,12255.279999999999,2,4,5,245,11,Need Attention,0
138,133,3,7540.969999999999,2,1,3,213,6,Lost Customers,4
139,5,6,13249.0,5,4,5,545,14,Champions,3
140,43,4,2862.68,3,2,1,321,6,Promising,1
141,171,6,9884.81,2,4,4,244,10,Need Attention,0
142,23,5,4640.2300000000005,4,3,2,432,9,Potential Loyalists,1
143,8,5,7560.84,5,3,3,533,11,Loyal Customers,3
144,30,6,8143.73,4,4,3,443,11,Loyal Customers,0
145,10,5,5627.47,5,3,3,533,11,Loyal Customers,1
146,134,5,9312.41,2,3,4,234,9,Need Attention,0
147,46,6,5179.43,3,4,2,342,9,Lost Customers,0
148,33,3,15988.66,4,1,5,415,10,Potential Loyalists,0
149,2,7,10409.2,5,4,4,544,13,Champions,3
150,2,9,16378.44,5,5,5,555,15,Champions,3
151,27,1,1903.3,4,1,1,411,6,New Customers,2
152,24,4,13234.59,4,2,5,425,11,Potential Loyalists,3
153,1,6,15424.58,5,4,5,545,14,Champions,3
154,8,2,685.05,5,1,1,511,7,New Customers,2
155,123,5,9958.619999999999,2,3,4,234,9,Need Attention,0
156,273,5,4937.24,1,3,2,132,6,Lost Customers,4
157,53,4,12391.480000000001,3,2,5,325,10,Potential Loyalists,0
158,103,3,2522.7799999999997,2,1,1,211,4,Lost Customers,4
159,9,4,11452.530000000002,5,2,4,524,11,Potential Loyalists,1
160,193,3,7806.870000000001,1,1,3,113,5,Lost Customers,4
161,28,8,13552.61,4,5,5,455,14,Champions,3
162,2,5,6897.88,5,3,3,533,11,Loyal Customers,3
163,1,4,2756.8500000000004,5,2,1,521,8,New Customers,1
164,12,7,6994.320000000001,5,4,3,543,12,Loyal Customers,3
165,75,5,8783.84,3,3,4,334,10,Loyal Customers,0
166,19,3,2599.87,4,1,1,411,6,New Customers,1
167,26,2,1647.63,4,1,1,411,6,New Customers,2
168,12,9,12190.53,5,5,5,555,15,Champions,3
169,9,6,10495.850000000002,5,4,4,544,13,Champions,3
170,47,5,7288.9,3,3,3,333,9,Loyal Customers,0
171,86,3,2218.26,3,1,1,311,5,Promising,4
172,21,6,5712.1,4,4,3,443,11,Loyal Customers,3
173,68,4,7699.3,3,2,3,323,8,Potential Loyalists,0
174,2,6,9948.75,5,4,4,544,13,Champions,3
175,62,3,1559.13,3,1,1,311,5,Promising,2
176,54,4,8892.09,3,2,4,324,9,Potential Loyalists,0
177,22,7,4837.71,4,4,2,442,10,Lost Customers,3
178,12,4,5276.12,5,2,2,522,9,Potential Loyalists,1
179,15,5,3057.59,5,3,1,531,9,Promising,1
180,28,4,8984.57,4,2,4,424,10,Potential Loyalists,1
181,85,4,4506.21,3,2,2,322,7,Potential Loyalists,4
182,253,2,1230.45,1,1,1,111,3,Lost Customers,2
183,8,8,11376.14,5,5,4,554,14,Champions,3
184,2,4,2025.6,5,2,1,521,8,New Customers,1
185,77,4,4221.27,3,2,2,322,7,Potential Loyalists,4
186,128,10,12570.730000000001,2,5,5,255,12,Need Attention,0
187,336,4,6458.03,1,2,3,123,6,Lost Customers,4
188,4,5,4990.460000000001,5,3,2,532,10,Potential Loyalists,1
189,10,5,6314.01,5,3,3,533,11,Loyal Customers,1
190,86,5,7859.6900000000005,3,3,3,333,9,Loyal Customers,0
191,140,4,3196.13,2,2,1,221,5,Lost Customers,4
192,2,6,9632.26,5,4,4,544,13,Champions,3
193,66,5,6731.200000000001,3,3,3,333,9,Loyal Customers,0
194,2,5,6791.96,5,3,3,533,11,Loyal Customers,1
195,87,4,12202.33,3,2,5,325,10,Potential Loyalists,0
196,137,2,4322.54,2,1,2,212,5,Lost Customers,4
197,6,1,314.64,5,1,1,511,7,New Customers,2
198,126,3,10042.49,2,1,4,214,7,Lost Customers,4
199,115,6,11776.679999999998,2,4,4,244,10,Need Attention,0
200,172,6,4456.23,2,4,2,242,8,Need Attention,0
201,38,7,20334.45,4,4,5,445,13,Champions,3
202,66,6,8764.87,3,4,4,344,11,Loyal Customers,0
203,408,2,3083.94,1,1,1,111,3,Lost Customers,4
204,223,1,9294.53,1,1,4,114,6,Lost Customers,4
205,10,7,7338.889999999999,5,4,3,543,12,Loyal Customers,3
206,36,2,3246.84,4,1,1,411,6,New Customers,4
207,32,3,2352.65,4,1,1,411,6,New Customers,1
208,11,2,1511.0,5,1,1,511,7,New Customers,1
209,57,6,9845.189999999999,3,4,4,344,11,Loyal Customers,0
210,201,5,5928.360000000001,1,3,3,133,7,At Risk,0
211,15,3,9181.81,5,1,4,514,10,Potential Loyalists,1
212,627,3,4976.97,1,1,2,112,4,Lost Customers,4
213,111,3,14015.45,2,1,5,215,8,Lost Customers,4
214,92,5,6000.75,2,3,3,233,8,Need Attention,0
215,715,2,2439.63,1,1,1,111,3,Lost Customers,4
216,18,8,22498.02,4,5,5,455,14,Champions,3
217,72,4,10895.75,3,2,4,324,9,Potential Loyalists,0
218,31,5,5286.18,4,3,2,432,9,Potential Loyalists,1
219,2,4,6561.97,5,2,3,523,10,Potential Loyalists,1
220,343,3,4325.320000000001,1,1,2,112,4,Lost Customers,4
221,314,5,10717.929999999998,1,3,4,134,8,At Risk,0
222,1,8,14111.810000000001,5,5,5,555,15,Champions,3
223,91,6,6529.17,2,4,3,243,9,Need Attention,0
224,2,7,18500.71,5,4,5,545,14,Champions,3
225,42,7,9723.53,3,4,4,344,11,Loyal Customers,0
226,264,5,6549.400000000001,1,3,3,133,7,At Risk,0
227,30,10,13193.4,4,5,5,455,14,Champions,3
228,163,3,4771.889999999999,2,1,2,212,5,Lost Customers,4
229,273,4,8158.16,1,2,3,123,6,Lost Customers,4
230,188,3,7449.219999999999,1,1,3,113,5,Lost Customers,4
231,238,4,5131.86,1,2,2,122,5,Lost Customers,4
232,120,4,7541.93,2,2,3,223,7,Need Attention,4
233,30,2,919.5,4,1,1,411,6,New Customers,2
234,129,9,10943.310000000001,2,5,4,254,11,Need Attention,0
235,154,2,1274.9499999999998,2,1,1,211,4,Lost Customers,2
236,100,4,5139.7,2,2,2,222,6,Need Attention,4
237,1,8,14672.710000000001,5,5,5,555,15,Champions,3
238,4,6,19375.34,5,4,5,545,14,Champions,3
239,16,7,7771.52,4,4,3,443,11,Loyal Customers,3
240,362,5,13235.54,1,3,5,135,9,At Risk,0
241,48,3,8120.12,3,1,3,313,7,Potential Loyalists,4
242,1,5,14532.91,5,3,5,535,13,Loyal Customers,3
243,40,7,6875.150000000001,4,4,3,443,11,Loyal Customers,0
244,46,5,6625.6,3,3,3,333,9,Loyal Customers,0
245,257,8,18320.82,1,5,5,155,11,At Risk,0
246,56,3,5062.1,3,1,2,312,6,Potential Loyalists,4
247,44,4,3633.9300000000003,3,2,2,322,7,Potential Loyalists,1
248,48,2,3661.3,3,1,2,312,6,Potential Loyalists,4
249,303,4,16061.32,1,2,5,125,8,Lost Customers,0
250,49,5,4258.85,3,3,2,332,8,Potential Loyalists,1
251,16,5,12557.550000000001,4,3,5,435,12,Loyal Customers,3
252,233,2,7991.259999999999,1,1,3,113,5,Lost Customers,4
253,23,3,1813.5300000000002,4,1,1,411,6,New Customers,1
254,61,6,5980.74,3,4,3,343,10,Loyal Customers,0
255,74,8,6843.58,3,5,3,353,11,Loyal Customers,0
256,332,8,8656.19,1,5,4,154,10,At Risk,0
257,25,8,9999.14,4,5,4,454,13,Champions,3
258,159,4,4273.47,2,2,2,222,6,Need Attention,4
259,7,10,23652.16,5,5,5,555,15,Champions,3
260,164,8,15600.29,2,5,5,255,12,Need Attention,0
261,27,10,22691.530000000002,4,5,5,455,14,Champions,3
262,2,4,7773.380000000001,5,2,3,523,10,Potential Loyalists,1
263,33,4,8725.430000000002,4,2,4,424,10,Potential Loyalists,1
264,73,6,8773.07,3,4,4,344,11,Loyal Customers,0
265,83,5,11894.920000000002,3,3,4,334,10,Loyal Customers,0
266,78,3,7357.749999999999,3,1,3,313,7,Potential Loyalists,4
267,99,2,934.8699999999999,2,1,1,211,4,Lost Customers,2
268,21,7,11398.119999999999,4,4,4,444,12,Champions,3
269,287,6,8007.01,1,4,3,143,8,At Risk,0
270,25,6,5203.08,4,4,2,442,10,Lost Customers,1
271,16,6,14778.59,4,4,5,445,13,Champions,3
272,1,7,13138.539999999999,5,4,5,545,14,Champions,3
273,20,2,2745.2,4,1,1,411,6,New Customers,1
274,145,5,13255.36,2,3,5,235,10,Need Attention,0
275,258,3,2777.2400000000002,1,1,1,111,3,Lost Customers,4
276,54,7,11891.119999999999,3,4,4,344,11,Loyal Customers,0
277,156,8,18873.38,2,5,5,255,12,Need Attention,0
278,1025,1,1030.35,1,1,1,111,3,Lost Customers,2
279,9,5,10192.01,5,3,4,534,12,Loyal Customers,3
280,15,7,7636.6900000000005,5,4,3,543,12,Loyal Customers,3
281,85,1,4362.619999999999,3,1,2,312,6,Potential Loyalists,4
282,56,3,4043.5,3,1,2,312,6,Potential Loyalists,4
283,6,3,2338.29,5,1,1,511,7,New Customers,1
284,11,6,12880.01,5,4,5,545,14,Champions,3
285,15,6,5549.5,5,4,2,542,11,Lost Customers,3
286,14,6,6015.64,5,4,3,543,12,Loyal Customers,3
287,72,5,11717.05,3,3,4,334,10,Loyal Customers,0
288,295,5,17032.98,1,3,5,135,9,At Risk,0
289,6,7,20844.85,5,4,5,545,14,Champions,3
290,31,5,5276.539999999999,4,3,2,432,9,Potential Loyalists,1
291,76,4,13302.800000000001,3,2,5,325,10,Potential Loyalists,0
292,52,4,5034.030000000001,3,2,2,322,7,Potential Loyalists,4
293,39,10,11957.8,4,5,4,454,13,Champions,3
294,1,6,19640.35,5,4,5,545,14,Champions,3
295,77,4,3949.99,3,2,2,322,7,Potential Loyalists,4
296,61,5,9704.75,3,3,4,334,10,Loyal Customers,0
297,75,3,3750.06,3,1,2,312,6,Potential Loyalists,4
298,161,10,38489.92,2,5,5,255,12,Need Attention,0
299,42,3,8383.380000000001,3,1,4,314,8,Potential Loyalists,1
300,33,9,14473.33,4,5,5,455,14,Champions,3
301,2,5,17427.97,5,3,5,535,13,Loyal Customers,3
302,64,5,17829.38,3,3,5,335,11,Loyal Customers,0
303,115,3,978.51,2,1,1,211,4,Lost Customers,2
304,22,4,13296.75,4,2,5,425,11,Potential Loyalists,3
305,18,12,27528.239999999998,4,5,5,455,14,Champions,3
306,134,4,4189.5,2,2,2,222,6,Need Attention,4
307,265,5,7264.410000000001,1,3,3,133,7,At Risk,0
308,215,4,4171.66,1,2,2,122,5,Lost Customers,4
309,82,5,10918.21,3,3,4,334,10,Loyal Customers,0
310,117,4,12990.119999999999,2,2,5,225,9,Need Attention,0
311,24,5,5258.280000000002,4,3,2,432,9,Potential Loyalists,1
312,46,4,4780.2,3,2,2,322,7,Potential Loyalists,1
313,665,2,6267.48,1,1,3,113,5,Lost Customers,4
314,50,3,2958.3300000000004,3,1,1,311,5,Promising,4
315,284,5,8373.76,1,3,4,134,8,At Risk,0
316,102,4,5172.8099999999995,2,2,2,222,6,Need Attention,4
317,249,4,702.4399999999999,1,2,1,121,4,Lost Customers,2
318,126,4,3565.66,2,2,2,222,6,Need Attention,4
319,20,12,16298.1,4,5,5,455,14,Champions,3
320,13,5,18053.07,5,3,5,535,13,Loyal Customers,3
321,39,9,21948.74,4,5,5,455,14,Champions,3
322,36,7,34022.04,4,4,5,445,13,Champions,3
323,51,1,460.98,3,1,1,311,5,Promising,2
324,13,6,8734.4,5,4,4,544,13,Champions,3
325,65,9,9505.94,3,5,4,354,12,Loyal Customers,0
326,368,1,432.09,1,1,1,111,3,Lost Customers,2
327,544,5,7301.38,1,3,3,133,7,At Risk,0
328,395,3,575.06,1,1,1,111,3,Lost Customers,2
329,127,6,9101.56,2,4,4,244,10,Need Attention,0
330,18,5,11374.03,4,3,4,434,11,Loyal Customers,3
331,85,1,935.14,3,1,1,311,5,Promising,2
332,328,1,2372.96,1,1,1,111,3,Lost Customers,2
333,1,8,13886.48,5,5,5,555,15,Champions,3
334,128,4,5943.15,2,2,3,223,7,Need Attention,4
335,13,4,4161.53,5,2,2,522,9,Potential Loyalists,1
336,62,4,5924.77,3,2,3,323,8,Potential Loyalists,4
337,185,3,12751.9,2,1,5,215,8,Lost Customers,4
338,205,8,8535.68,1,5,4,154,10,At Risk,0
339,130,5,4656.04,2,3,2,232,7,Need Attention,4
340,24,11,14784.03,4,5,5,455,14,Champions,3
341,3,4,4238.299999999999,5,2,2,522,9,Potential Loyalists,1
342,69,4,4104.8099999999995,3,2,2,322,7,Potential Loyalists,4
343,422,3,12775.330000000002,1,1,5,115,7,Lost Customers,4
344,31,9,13043.3,4,5,5,455,14,Champions,3
345,23,4,11316.210000000001,4,2,4,424,10,Potential Loyalists,1
346,98,5,3559.64,2,3,2,232,7,Need Attention,4
347,7,2,12290.45,5,1,5,515,11,Potential Loyalists,1
348,59,6,5292.12,3,4,2,342,9,Lost Customers,0
349,45,3,3452.98,3,1,2,312,6,Potential Loyalists,4
350,27,5,5019.43,4,3,2,432,9,Potential Loyalists,1
351,16,4,13532.47,4,2,5,425,11,Potential Loyalists,3
352,37,3,8810.630000000001,4,1,4,414,9,Potential Loyalists,1
353,33,7,14576.33,4,4,5,445,13,Champions,3
354,62,6,16182.75,3,4,5,345,12,Loyal Customers,0
355,353,5,1730.88,1,3,1,131,5,Lost Customers,4
356,177,7,5269.02,2,4,2,242,8,Need Attention,0
357,15,6,9449.410000000002,5,4,4,544,13,Champions,3
358,323,3,4345.4,1,1,2,112,4,Lost Customers,4
359,1,5,5467.13,5,3,2,532,10,Potential Loyalists,1
360,44,6,9413.289999999999,3,4,4,344,11,Loyal Customers,0
361,15,8,12056.869999999999,5,5,4,554,14,Champions,3
362,190,2,8311.140000000001,1,1,4,114,6,Lost Customers,4
363,767,4,5291.1,1,2,2,122,5,Lost Customers,4
364,543,1,1169.59,1,1,1,111,3,Lost Customers,2
365,12,12,21028.66,5,5,5,555,15,Champions,3
366,49,3,6633.66,3,1,3,313,7,Potential Loyalists,4
367,20,7,24462.620000000003,4,4,5,445,13,Champions,3
368,42,4,8829.1,3,2,4,324,9,Potential Loyalists,0
369,2,5,17525.179999999997,5,3,5,535,13,Loyal Customers,3
370,499,4,8146.16,1,2,3,123,6,Lost Customers,4
371,83,4,7218.82,3,2,3,323,8,Potential Loyalists,4
372,391,3,3543.7100000000005,1,1,2,112,4,Lost Customers,4
373,389,1,127.27,1,1,1,111,3,Lost Customers,2
374,106,3,8306.96,2,1,4,214,7,Lost Customers,4
375,103,3,6798.55,2,1,3,213,6,Lost Customers,4
376,88,5,7683.16,2,3,3,233,8,Need Attention,0
377,124,2,5013.780000000001,2,1,2,212,5,Lost Customers,4
378,31,7,6141.6900000000005,4,4,3,443,11,Loyal Customers,0
379,13,1,2384.9700000000003,5,1,1,511,7,New Customers,2
380,388,2,1145.23,1,1,1,111,3,Lost Customers,2
381,202,3,3590.36,1,1,2,112,4,Lost Customers,4
382,571,1,321.9,1,1,1,111,3,Lost Customers,2
383,50,4,2522.83,3,2,1,321,6,Promising,4
384,205,3,4641.43,1,1,2,112,4,Lost Customers,4
385,9,3,1226.44,5,1,1,511,7,New Customers,1
386,307,4,13970.92,1,2,5,125,8,Lost Customers,0
387,70,2,2542.4,3,1,1,311,5,Promising,4
388,1,4,3062.32,5,2,1,521,8,New Customers,1
389,60,3,2526.41,3,1,1,311,5,Promising,4
390,7,6,5543.84,5,4,2,542,11,Lost Customers,3
391,249,3,1402.8200000000002,1,1,1,111,3,Lost Customers,2
392,8,6,8429.86,5,4,4,544,13,Champions,3
393,711,4,7064.84,1,2,3,123,6,Lost Customers,4
394,41,5,6314.41,4,3,3,433,10,Loyal Customers,0
395,27,5,6581.09,4,3,3,433,10,Loyal Customers,1
396,70,6,5885.17,3,4,3,343,10,Loyal Customers,0
397,5,4,9228.89,5,2,4,524,11,Potential Loyalists,1
398,11,7,18103.36,5,4,5,545,14,Champions,3
399,119,6,14522.65,2,4,5,245,11,Need Attention,0
400,28,2,2766.49,4,1,1,411,6,New Customers,1
401,143,6,10971.84,2,4,4,244,10,Need Attention,0
402,115,4,5604.43,2,2,2,222,6,Need Attention,4
403,8,4,9071.35,5,2,4,524,11,Potential Loyalists,1
404,136,9,12221.189999999999,2,5,5,255,12,Need Attention,0
405,156,3,10507.650000000001,2,1,4,214,7,Lost Customers,4
406,42,5,3661.9300000000003,3,3,2,332,8,Potential Loyalists,1
407,71,5,6389.570000000001,3,3,3,333,9,Loyal Customers,0
408,446,2,3203.4800000000005,1,1,1,111,3,Lost Customers,4
409,1,4,8340.880000000001,5,2,4,524,11,Potential Loyalists,1
410,30,3,4059.51,4,1,2,412,7,Potential Loyalists,1
411,166,4,5864.5199999999995,2,2,3,223,7,Need Attention,4
412,209,6,7768.460000000001,1,4,3,143,8,At Risk,0
413,31,13,15677.67,4,5,5,455,14,Champions,3
414,3,3,8668.0,5,1,4,514,10,Potential Loyalists,1
415,15,6,15422.7,5,4,5,545,14,Champions,3
416,274,4,2676.36,1,2,1,121,4,Lost Customers,4
417,13,8,13350.65,5,5,5,555,15,Champions,3
418,24,2,4016.25,4,1,2,412,7,Potential Loyalists,1
419,99,3,6060.16,2,1,3,213,6,Lost Customers,4
420,300,3,5728.05,1,1,3,113,5,Lost Customers,4
421,86,3,4494.1900000000005,3,1,2,312,6,Potential Loyalists,4
422,28,3,1700.87,4,1,1,411,6,New Customers,1
423,2,5,2843.85,5,3,1,531,9,Promising,1
424,21,6,7091.26,4,4,3,443,11,Loyal Customers,3
425,226,4,1449.99,1,2,1,121,4,Lost Customers,4
426,397,2,8564.359999999999,1,1,4,114,6,Lost Customers,4
427,10,8,9171.18,5,5,4,554,14,Champions,3
428,182,5,6315.4,2,3,3,233,8,Need Attention,0
429,14,11,13192.03,5,5,5,555,15,Champions,3
430,28,6,14374.250000000002,4,4,5,445,13,Champions,3
431,1,6,11594.36,5,4,4,544,13,Champions,3
432,147,6,14623.470000000001,2,4,5,245,11,Need Attention,0
433,359,2,2194.3999999999996,1,1,1,111,3,Lost Customers,2
434,13,6,12808.810000000001,5,4,5,545,14,Champions,3
435,15,7,10769.51,5,4,4,544,13,Champions,3
436,550,6,3717.9400000000005,1,4,2,142,7,Lost Customers,4
437,255,6,11880.279999999999,1,4,4,144,9,At Risk,0
438,223,6,13693.14,1,4,5,145,10,At Risk,0
439,1,7,13359.510000000002,5,4,5,545,14,Champions,3
440,24,4,6561.62,4,2,3,423,9,Potential Loyalists,1
441,3,5,7096.500000000001,5,3,3,533,11,Loyal Customers,3
442,140,3,4263.03,2,1,2,212,5,Lost Customers,4
443,147,5,8828.029999999999,2,3,4,234,9,Need Attention,0
444,130,1,293.70000000000005,2,1,1,211,4,Lost Customers,2
445,17,5,16434.219999999998,4,3,5,435,12,Loyal Customers,3
446,125,6,7668.530000000001,2,4,3,243,9,Need Attention,0
447,184,4,8966.68,2,2,4,224,8,Need Attention,4
448,378,4,5017.42,1,2,2,122,5,Lost Customers,4
449,473,6,6215.540000000001,1,4,3,143,8,At Risk,0
450,24,2,5177.26,4,1,2,412,7,Potential Loyalists,1
451,312,4,2845.66,1,2,1,121,4,Lost Customers,4
452,88,4,3316.38,2,2,2,222,6,Need Attention,4
453,107,4,15320.189999999999,2,2,5,225,9,Need Attention,0
454,496,5,6685.51,1,3,3,133,7,At Risk,4
455,135,5,7864.4400000000005,2,3,3,233,8,Need Attention,0
456,301,4,11878.150000000001,1,2,4,124,7,Lost Customers,0
