order_id,customer_id,order_date,product_id,product_name,category,quantity,unit_price,total_amount,shipping_state,order_status,acquisition_channel
536387,14461,2010-04-09 00:00:00,47566,PARTY BUNTING,Party Supplies,2,4.95,9.9,EIRE,Completed,Direct Mail & Wholesale
536388,13782,2010-02-26 00:00:00,47566,PARTY BUNTING,Party Supplies,1,4.95,4.95,Germany,Completed,Direct Mail & Wholesale
536389,14244,2010-03-07 00:00:00,22086,PAPER CHAIN KIT 50'S CHRISTMAS,Seasonal,2,2.95,5.9,United Kingdom,Completed,Direct Mail & Wholesale
536390,17105,2011-03-16 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,2,4.95,9.9,United Kingdom,Completed,Direct Mail & Wholesale
536391,17147,2011-10-29 00:00:00,22383,LUNCH BAG SUKI DESIGN,Storage & Bags,1,1.65,1.65,United Kingdom,Completed,Direct Mail & Wholesale
536392,14899,2011-05-03 00:00:00,POST,POSTAGE,Postage & Packaging,1,18.0,18.0,United Kingdom,Completed,Direct Mail & Wholesale
536393,12443,2010-03-21 00:00:00,POST,POSTAGE,Postage & Packaging,4,18.0,72.0,United Kingdom,Completed,Direct Mail & Wholesale
536394,16294,2011-06-29 00:00:00,21212,PACK OF 72 RETROSPOT CAKE CASES,Kitchenware,1,0.55,0.55,EIRE,Completed,Direct Mail & Wholesale
536395,15278,2010-05-13 00:00:00,22383,LUNCH BAG SUKI DESIGN,Storage & Bags,6,1.65,9.9,United Kingdom,Completed,Direct Mail & Wholesale
536396,13739,2011-09-24 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,2,4.95,9.9,EIRE,Completed,Direct Mail & Wholesale
536397,14940,2011-06-03 00:00:00,22383,LUNCH BAG SUKI DESIGN,Storage & Bags,1,1.65,1.65,United Kingdom,Completed,Direct Mail & Wholesale
536398,13017,2010-02-18 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,2,4.95,9.9,United Kingdom,Completed,Direct Mail & Wholesale
536399,17506,2011-10-26 00:00:00,21212,PACK OF 72 RETROSPOT CAKE CASES,Kitchenware,1,0.55,0.55,United Kingdom,Completed,Direct Mail & Wholesale
536400,18225,2011-07-04 00:00:00,22423,REGENCY CAKESTAND 3 TIER,Kitchenware,1,12.75,12.75,United Kingdom,Completed,Direct Mail & Wholesale
536401,14134,2010-08-09 00:00:00,22383,LUNCH BAG SUKI DESIGN,Storage & Bags,1,1.65,1.65,United Kingdom,Completed,Direct Mail & Wholesale
536402,16944,2011-02-27 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,1,4.95,4.95,EIRE,Completed,Direct Mail & Wholesale
536403,14683,2009-12-21 00:00:00,85099B,JUMBO BAG RED RETROSPOT,Storage & Bags,2,1.95,3.9,Netherlands,Completed,Direct Mail & Wholesale
536404,14391,2011-05-24 00:00:00,22423,REGENCY CAKESTAND 3 TIER,Kitchenware,1,12.75,12.75,United Kingdom,Completed,Direct Mail & Wholesale
C536405,15728,2010-01-17 00:00:00,POST,POSTAGE,Postage & Packaging,-1,18.0,-18.0,Germany,Cancelled,Direct Mail & Wholesale
536406,14774,2011-07-14 00:00:00,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,2,2.55,5.1,United Kingdom,Completed,Direct Mail & Wholesale
536407,12347,2011-01-14 00:00:00,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,1,2.55,2.55,United Kingdom,Completed,Direct Mail & Wholesale
536408,16017,2009-12-23 00:00:00,22086,PAPER CHAIN KIT 50'S CHRISTMAS,Seasonal,1,2.95,2.95,United Kingdom,Completed,Direct Mail & Wholesale
536409,16953,2010-11-09 00:00:00,POST,POSTAGE,Postage & Packaging,12,18.0,216.0,United Kingdom,Completed,Direct Mail & Wholesale
536410,15916,2010-07-12 00:00:00,22086,PAPER CHAIN KIT 50'S CHRISTMAS,Seasonal,4,2.95,11.8,United Kingdom,Completed,Direct Mail & Wholesale
536411,16535,2010-07-12 00:00:00,47566,PARTY BUNTING,Party Supplies,1,4.95,4.95,United Kingdom,Completed,Direct Mail & Wholesale
536412,15275,2010-02-12 00:00:00,POST,POSTAGE,Postage & Packaging,6,18.0,108.0,United Kingdom,Completed,Direct Mail & Wholesale
536413,16226,2009-12-18 00:00:00,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,1,2.55,2.55,United Kingdom,Completed,Direct Mail & Wholesale
536414,14293,2011-02-05 00:00:00,POST,POSTAGE,Postage & Packaging,4,18.0,72.0,United Kingdom,Completed,Direct Mail & Wholesale
536415,14044,2011-04-19 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,1,4.95,4.95,Germany,Completed,Direct Mail & Wholesale
536416,16685,2011-08-20 00:00:00,47566,PARTY BUNTING,Party Supplies,6,4.95,29.7,United Kingdom,Completed,Direct Mail & Wholesale
536417,12990,2010-01-21 00:00:00,22423,REGENCY CAKESTAND 3 TIER,Kitchenware,1,12.75,12.75,United Kingdom,Completed,Direct Mail & Wholesale
536418,14723,2010-04-13 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,2,4.95,9.9,United Kingdom,Completed,Direct Mail & Wholesale
536419,16991,2010-09-29 00:00:00,22086,PAPER CHAIN KIT 50'S CHRISTMAS,Seasonal,6,2.95,17.7,United Kingdom,Completed,Direct Mail & Wholesale
536420,13299,2010-02-09 00:00:00,22383,LUNCH BAG SUKI DESIGN,Storage & Bags,1,1.65,1.65,United Kingdom,Completed,Direct Mail & Wholesale
C536421,17958,2011-07-28 00:00:00,47566,PARTY BUNTING,Party Supplies,-1,4.95,-4.95,United Kingdom,Cancelled,Direct Mail & Wholesale
536422,14485,2011-10-23 00:00:00,POST,POSTAGE,Postage & Packaging,1,18.0,18.0,Spain,Completed,Direct Mail & Wholesale
536423,14126,2011-11-02 00:00:00,21212,PACK OF 72 RETROSPOT CAKE CASES,Kitchenware,2,0.55,1.1,United Kingdom,Completed,Direct Mail & Wholesale
536424,13997,2010-11-15 00:00:00,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,6,2.55,15.3,United Kingdom,Completed,Direct Mail & Wholesale
536425,16380,2010-02-27 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,2,4.95,9.9,United Kingdom,Completed,Direct Mail & Wholesale
536426,14820,2011-01-19 00:00:00,47566,PARTY BUNTING,Party Supplies,1,4.95,4.95,Netherlands,Completed,Direct Mail & Wholesale
536427,17631,2011-07-23 00:00:00,85099B,JUMBO BAG RED RETROSPOT,Storage & Bags,2,1.95,3.9,United Kingdom,Completed,Direct Mail & Wholesale
536428,15704,2010-09-24 00:00:00,21212,PACK OF 72 RETROSPOT CAKE CASES,Kitchenware,2,0.55,1.1,Germany,Completed,Direct Mail & Wholesale
536429,15157,2010-02-09 00:00:00,22423,REGENCY CAKESTAND 3 TIER,Kitchenware,4,12.75,51.0,United Kingdom,Completed,Direct Mail & Wholesale
536430,12357,2010-11-08 00:00:00,84879,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,6,1.69,10.14,United Kingdom,Completed,Direct Mail & Wholesale
536431,15190,2010-02-09 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,4,4.95,19.8,United Kingdom,Completed,Direct Mail & Wholesale
536432,13082,2010-10-14 00:00:00,22086,PAPER CHAIN KIT 50'S CHRISTMAS,Seasonal,4,2.95,11.8,Belgium,Completed,Direct Mail & Wholesale
536433,15354,2010-03-06 00:00:00,84879,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,2,1.69,3.38,United Kingdom,Completed,Direct Mail & Wholesale
536434,14994,2011-04-20 00:00:00,22383,LUNCH BAG SUKI DESIGN,Storage & Bags,1,1.65,1.65,United Kingdom,Completed,Direct Mail & Wholesale
536435,17385,2011-04-18 00:00:00,85099B,JUMBO BAG RED RETROSPOT,Storage & Bags,6,1.95,11.7,United Kingdom,Completed,Direct Mail & Wholesale
536436,12443,2011-08-09 00:00:00,POST,POSTAGE,Postage & Packaging,6,18.0,108.0,United Kingdom,Completed,Direct Mail & Wholesale
536437,15158,2011-03-20 00:00:00,85099B,JUMBO BAG RED RETROSPOT,Storage & Bags,2,1.95,3.9,France,Completed,Direct Mail & Wholesale
536438,17180,2010-08-17 00:00:00,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,4,2.55,10.2,United Kingdom,Completed,Direct Mail & Wholesale
536439,12607,2010-09-09 00:00:00,85099B,JUMBO BAG RED RETROSPOT,Storage & Bags,2,1.95,3.9,France,Completed,Direct Mail & Wholesale
536440,15876,2010-01-24 00:00:00,84879,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,6,1.69,10.14,United Kingdom,Completed,Direct Mail & Wholesale
536441,14687,2011-10-17 00:00:00,85099B,JUMBO BAG RED RETROSPOT,Storage & Bags,2,1.95,3.9,France,Completed,Direct Mail & Wholesale
536442,14265,2011-11-28 00:00:00,21212,PACK OF 72 RETROSPOT CAKE CASES,Kitchenware,4,0.55,2.2,United Kingdom,Completed,Direct Mail & Wholesale
536443,15542,2010-10-25 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,2,4.95,9.9,United Kingdom,Completed,Direct Mail & Wholesale
536444,17928,2010-10-08 00:00:00,POST,POSTAGE,Postage & Packaging,4,18.0,72.0,United Kingdom,Completed,Direct Mail & Wholesale
536445,18153,2010-01-23 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,4,4.95,19.8,United Kingdom,Completed,Direct Mail & Wholesale
536446,14732,2010-08-22 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,12,4.95,59.4,United Kingdom,Completed,Direct Mail & Wholesale
536447,13603,2011-02-12 00:00:00,85099B,JUMBO BAG RED RETROSPOT,Storage & Bags,1,1.95,1.95,United Kingdom,Completed,Direct Mail & Wholesale
536448,18015,2010-01-28 00:00:00,22086,PAPER CHAIN KIT 50'S CHRISTMAS,Seasonal,1,2.95,2.95,United Kingdom,Completed,Direct Mail & Wholesale
536449,16295,2011-01-31 00:00:00,POST,POSTAGE,Postage & Packaging,2,18.0,36.0,United Kingdom,Completed,Direct Mail & Wholesale
536450,17481,2010-04-26 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,1,4.95,4.95,United Kingdom,Completed,Direct Mail & Wholesale
536451,15330,2011-06-26 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,4,4.95,19.8,United Kingdom,Completed,Direct Mail & Wholesale
536452,13436,2010-03-30 00:00:00,22086,PAPER CHAIN KIT 50'S CHRISTMAS,Seasonal,12,2.95,35.4,United Kingdom,Completed,Direct Mail & Wholesale
536453,15923,2009-12-30 00:00:00,22423,REGENCY CAKESTAND 3 TIER,Kitchenware,1,12.75,12.75,France,Completed,Direct Mail & Wholesale
536454,15632,2010-10-19 00:00:00,POST,POSTAGE,Postage & Packaging,2,18.0,36.0,Portugal,Completed,Direct Mail & Wholesale
536455,14389,2010-10-18 00:00:00,85099B,JUMBO BAG RED RETROSPOT,Storage & Bags,1,1.95,1.95,United Kingdom,Completed,Direct Mail & Wholesale
536456,12908,2010-10-12 00:00:00,85099B,JUMBO BAG RED RETROSPOT,Storage & Bags,4,1.95,7.8,France,Completed,Direct Mail & Wholesale
536457,12359,2011-09-20 00:00:00,47566,PARTY BUNTING,Party Supplies,1,4.95,4.95,United Kingdom,Completed,Direct Mail & Wholesale
536458,16525,2010-09-02 00:00:00,47566,PARTY BUNTING,Party Supplies,12,4.95,59.4,Germany,Completed,Direct Mail & Wholesale
536459,15149,2011-04-29 00:00:00,22383,LUNCH BAG SUKI DESIGN,Storage & Bags,1,1.65,1.65,United Kingdom,Completed,Direct Mail & Wholesale
536460,17327,2010-07-22 00:00:00,47566,PARTY BUNTING,Party Supplies,2,4.95,9.9,EIRE,Completed,Direct Mail & Wholesale
536461,14644,2010-10-29 00:00:00,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,2,2.55,5.1,United Kingdom,Completed,Direct Mail & Wholesale
536462,12573,2010-12-24 00:00:00,47566,PARTY BUNTING,Party Supplies,1,4.95,4.95,United Kingdom,Completed,Direct Mail & Wholesale
536463,17989,2010-09-29 00:00:00,22086,PAPER CHAIN KIT 50'S CHRISTMAS,Seasonal,1,2.95,2.95,United Kingdom,Completed,Direct Mail & Wholesale
536464,13381,2011-04-09 00:00:00,84879,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,1,1.69,1.69,United Kingdom,Completed,Direct Mail & Wholesale
536465,15192,2010-07-09 00:00:00,22423,REGENCY CAKESTAND 3 TIER,Kitchenware,12,12.75,153.0,United Kingdom,Completed,Direct Mail & Wholesale
536466,13035,2011-05-26 00:00:00,22383,LUNCH BAG SUKI DESIGN,Storage & Bags,24,1.65,39.6,United Kingdom,Completed,Direct Mail & Wholesale
536467,17403,2011-03-20 00:00:00,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,4,2.55,10.2,United Kingdom,Completed,Direct Mail & Wholesale
536468,17903,2010-09-21 00:00:00,22423,REGENCY CAKESTAND 3 TIER,Kitchenware,1,12.75,12.75,United Kingdom,Completed,Direct Mail & Wholesale
536469,13678,2011-03-26 00:00:00,84879,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,2,1.69,3.38,Germany,Completed,Direct Mail & Wholesale
536470,17686,2011-09-08 00:00:00,22383,LUNCH BAG SUKI DESIGN,Storage & Bags,1,1.65,1.65,United Kingdom,Completed,Direct Mail & Wholesale
536471,15497,2010-10-07 00:00:00,POST,POSTAGE,Postage & Packaging,4,18.0,72.0,United Kingdom,Completed,Direct Mail & Wholesale
536472,17197,2010-04-10 00:00:00,POST,POSTAGE,Postage & Packaging,1,18.0,18.0,United Kingdom,Completed,Direct Mail & Wholesale
536473,17481,2011-08-29 00:00:00,POST,POSTAGE,Postage & Packaging,4,18.0,72.0,United Kingdom,Completed,Direct Mail & Wholesale
536474,16933,2011-11-11 00:00:00,21212,PACK OF 72 RETROSPOT CAKE CASES,Kitchenware,1,0.55,0.55,Germany,Completed,Direct Mail & Wholesale
536475,16965,2011-08-09 00:00:00,84879,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,1,1.69,1.69,United Kingdom,Completed,Direct Mail & Wholesale
C536476,13556,2011-02-09 00:00:00,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,-6,2.55,-15.3,United Kingdom,Cancelled,Direct Mail & Wholesale
536477,13357,2010-12-12 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,4,4.95,19.8,United Kingdom,Completed,Direct Mail & Wholesale
536478,16430,2010-07-17 00:00:00,47566,PARTY BUNTING,Party Supplies,1,4.95,4.95,Belgium,Completed,Direct Mail & Wholesale
536479,14024,2011-08-28 00:00:00,84879,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,1,1.69,1.69,United Kingdom,Completed,Direct Mail & Wholesale
536480,12578,2011-11-30 00:00:00,21212,PACK OF 72 RETROSPOT CAKE CASES,Kitchenware,2,0.55,1.1,United Kingdom,Completed,Direct Mail & Wholesale
536481,14203,2009-12-09 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,2,4.95,9.9,France,Completed,Direct Mail & Wholesale
536482,13869,2011-01-14 00:00:00,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,2,2.55,5.1,United Kingdom,Completed,Direct Mail & Wholesale
536483,15589,2010-11-16 00:00:00,21212,PACK OF 72 RETROSPOT CAKE CASES,Kitchenware,4,0.55,2.2,United Kingdom,Completed,Direct Mail & Wholesale
536484,12717,2010-05-30 00:00:00,22383,LUNCH BAG SUKI DESIGN,Storage & Bags,6,1.65,9.9,France,Completed,Direct Mail & Wholesale
536485,14324,2010-01-27 00:00:00,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,1,2.55,2.55,United Kingdom,Completed,Direct Mail & Wholesale
C536486,13166,2011-05-06 00:00:00,22423,REGENCY CAKESTAND 3 TIER,Kitchenware,-1,12.75,-12.75,United Kingdom,Cancelled,Direct Mail & Wholesale
536487,17017,2011-08-03 00:00:00,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,6,2.55,15.3,United Kingdom,Completed,Direct Mail & Wholesale
536488,14346,2011-01-05 00:00:00,22383,LUNCH BAG SUKI DESIGN,Storage & Bags,2,1.65,3.3,United Kingdom,Completed,Direct Mail & Wholesale
536489,14299,2010-11-24 00:00:00,47566,PARTY BUNTING,Party Supplies,4,4.95,19.8,France,Completed,Direct Mail & Wholesale
536490,13701,2010-07-30 00:00:00,22423,REGENCY CAKESTAND 3 TIER,Kitchenware,1,12.75,12.75,United Kingdom,Completed,Direct Mail & Wholesale
536491,13930,2010-02-15 00:00:00,47566,PARTY BUNTING,Party Supplies,2,4.95,9.9,United Kingdom,Completed,Direct Mail & Wholesale
536492,13866,2011-08-31 00:00:00,POST,POSTAGE,Postage & Packaging,4,18.0,72.0,France,Completed,Direct Mail & Wholesale
536493,16692,2010-05-01 00:00:00,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,1,2.55,2.55,United Kingdom,Completed,Direct Mail & Wholesale
536494,12411,2009-12-22 00:00:00,85099B,JUMBO BAG RED RETROSPOT,Storage & Bags,2,1.95,3.9,United Kingdom,Completed,Direct Mail & Wholesale
536495,13399,2011-02-21 00:00:00,85099B,JUMBO BAG RED RETROSPOT,Storage & Bags,2,1.95,3.9,United Kingdom,Completed,Direct Mail & Wholesale
536496,14470,2010-12-20 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,6,4.95,29.7,United Kingdom,Completed,Direct Mail & Wholesale
536497,17747,2010-09-01 00:00:00,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,6,2.55,15.3,United Kingdom,Completed,Direct Mail & Wholesale
536498,15081,2011-02-08 00:00:00,21212,PACK OF 72 RETROSPOT CAKE CASES,Kitchenware,12,0.55,6.6,United Kingdom,Completed,Direct Mail & Wholesale
536499,16111,2011-08-08 00:00:00,47566,PARTY BUNTING,Party Supplies,2,4.95,9.9,United Kingdom,Completed,Direct Mail & Wholesale
536500,12919,2010-07-27 00:00:00,85099B,JUMBO BAG RED RETROSPOT,Storage & Bags,12,1.95,23.4,United Kingdom,Completed,Direct Mail & Wholesale
536501,16843,2010-12-07 00:00:00,21212,PACK OF 72 RETROSPOT CAKE CASES,Kitchenware,2,0.55,1.1,United Kingdom,Completed,Direct Mail & Wholesale
536502,14290,2010-09-06 00:00:00,22086,PAPER CHAIN KIT 50'S CHRISTMAS,Seasonal,2,2.95,5.9,United Kingdom,Completed,Direct Mail & Wholesale
536503,12748,2011-10-04 00:00:00,POST,POSTAGE,Postage & Packaging,1,18.0,18.0,United Kingdom,Completed,Direct Mail & Wholesale
536504,16961,2011-07-20 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,1,4.95,4.95,United Kingdom,Completed,Direct Mail & Wholesale
536505,14684,2010-08-18 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,4,4.95,19.8,United Kingdom,Completed,Direct Mail & Wholesale
536506,14151,2011-06-22 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,1,4.95,4.95,United Kingdom,Completed,Direct Mail & Wholesale
536507,17900,2010-06-23 00:00:00,85099B,JUMBO BAG RED RETROSPOT,Storage & Bags,6,1.95,11.7,United Kingdom,Completed,Direct Mail & Wholesale
536508,12874,2011-01-24 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,1,4.95,4.95,Switzerland,Completed,Direct Mail & Wholesale
536509,17893,2011-08-17 00:00:00,21212,PACK OF 72 RETROSPOT CAKE CASES,Kitchenware,1,0.55,0.55,United Kingdom,Completed,Direct Mail & Wholesale
536510,14912,2011-01-04 00:00:00,85099B,JUMBO BAG RED RETROSPOT,Storage & Bags,1,1.95,1.95,Germany,Completed,Direct Mail & Wholesale
536511,17449,2011-02-08 00:00:00,22383,LUNCH BAG SUKI DESIGN,Storage & Bags,2,1.65,3.3,United Kingdom,Completed,Direct Mail & Wholesale
536512,13055,2010-10-10 00:00:00,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,1,2.55,2.55,Germany,Completed,Direct Mail & Wholesale
536513,17228,2010-11-01 00:00:00,22086,PAPER CHAIN KIT 50'S CHRISTMAS,Seasonal,24,2.95,70.8,France,Completed,Direct Mail & Wholesale
536514,14733,2011-05-31 00:00:00,22383,LUNCH BAG SUKI DESIGN,Storage & Bags,1,1.65,1.65,United Kingdom,Completed,Direct Mail & Wholesale
536515,15695,2010-05-15 00:00:00,POST,POSTAGE,Postage & Packaging,1,18.0,18.0,Netherlands,Completed,Direct Mail & Wholesale
536516,15967,2011-06-09 00:00:00,21212,PACK OF 72 RETROSPOT CAKE CASES,Kitchenware,1,0.55,0.55,Germany,Completed,Direct Mail & Wholesale
536517,17729,2011-11-14 00:00:00,21212,PACK OF 72 RETROSPOT CAKE CASES,Kitchenware,1,0.55,0.55,United Kingdom,Completed,Direct Mail & Wholesale
536518,16661,2011-08-23 00:00:00,21212,PACK OF 72 RETROSPOT CAKE CASES,Kitchenware,6,0.55,3.3,Australia,Completed,Direct Mail & Wholesale
536519,18121,2010-05-20 00:00:00,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,2,2.55,5.1,United Kingdom,Completed,Direct Mail & Wholesale
536520,15172,2011-01-30 00:00:00,22383,LUNCH BAG SUKI DESIGN,Storage & Bags,4,1.65,6.6,United Kingdom,Completed,Direct Mail & Wholesale
536521,17403,2010-06-22 00:00:00,84879,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,2,1.69,3.38,United Kingdom,Completed,Direct Mail & Wholesale
536522,16151,2011-07-16 00:00:00,22423,REGENCY CAKESTAND 3 TIER,Kitchenware,2,12.75,25.5,United Kingdom,Completed,Direct Mail & Wholesale
536523,13224,2010-08-27 00:00:00,47566,PARTY BUNTING,Party Supplies,1,4.95,4.95,United Kingdom,Completed,Direct Mail & Wholesale
536524,15222,2010-01-07 00:00:00,POST,POSTAGE,Postage & Packaging,4,18.0,72.0,United Kingdom,Completed,Direct Mail & Wholesale
536525,15993,2010-06-23 00:00:00,84879,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,1,1.69,1.69,United Kingdom,Completed,Direct Mail & Wholesale
536526,14357,2010-05-02 00:00:00,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,1,2.55,2.55,Germany,Completed,Direct Mail & Wholesale
536527,13552,2011-06-27 00:00:00,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,12,2.55,30.6,United Kingdom,Completed,Direct Mail & Wholesale
536528,13007,2011-06-16 00:00:00,85099B,JUMBO BAG RED RETROSPOT,Storage & Bags,6,1.95,11.7,United Kingdom,Completed,Direct Mail & Wholesale
536529,14203,2010-02-02 00:00:00,85099B,JUMBO BAG RED RETROSPOT,Storage & Bags,2,1.95,3.9,Netherlands,Completed,Direct Mail & Wholesale
536530,17143,2010-09-16 00:00:00,22383,LUNCH BAG SUKI DESIGN,Storage & Bags,4,1.65,6.6,Australia,Completed,Direct Mail & Wholesale
536531,17874,2011-08-29 00:00:00,22423,REGENCY CAKESTAND 3 TIER,Kitchenware,1,12.75,12.75,United Kingdom,Completed,Direct Mail & Wholesale
536532,16719,2010-08-03 00:00:00,21212,PACK OF 72 RETROSPOT CAKE CASES,Kitchenware,6,0.55,3.3,United Kingdom,Completed,Direct Mail & Wholesale
536533,13998,2011-02-25 00:00:00,85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,6,2.55,15.3,United Kingdom,Completed,Direct Mail & Wholesale
536534,15350,2010-10-24 00:00:00,22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,4,4.95,19.8,United Kingdom,Completed,Direct Mail & Wholesale
