session_id,customer_id,session_date,channel,device,pages_viewed,session_duration,converted
58,,2021-09-19 00:12:20,Referral,Mobile,5,397,0
59,,2023-01-18 05:09:38,Direct,Mobile,8,137,0
60,,2023-07-02 16:56:32,Social Media,Mobile,7,139,0
61,19799,2021-10-26 20:12:01,Referral,Tablet,6,208,0
62,17361,2021-08-10 17:15:22,Email,Mobile,4,37,0
63,,2022-03-30 07:09:17,Email,Mobile,6,220,0
64,,2021-05-03 11:07:55,Direct,Desktop,3,78,0
65,,2023-10-17 00:26:09,Email,Desktop,7,92,0
66,,2023-07-12 16:22:16,Social Media,Desktop,4,60,0
67,,2023-08-21 21:44:15,Direct,Desktop,6,110,0
68,,2023-07-10 23:37:36,Social Media,Mobile,5,291,0
69,,2021-10-23 18:03:05,Social Media,Mobile,3,273,0
70,,2022-11-20 02:26:57,Social Media,Mobile,6,84,0
71,,2022-06-28 07:38:26,Referral,Mobile,3,227,0
72,,2022-02-09 18:30:24,Email,Desktop,8,806,0
73,,2022-05-09 04:32:03,Paid Search,Desktop,5,39,0
74,,2021-08-01 05:42:20,Organic Search,Tablet,3,52,0
75,19538,2022-01-03 10:06:00,Direct,Mobile,6,10,0
76,,2021-07-29 12:32:37,Email,Mobile,3,130,0
77,,2022-03-17 11:02:22,Organic Search,Desktop,2,48,0
78,11699,2023-09-10 13:42:17,Paid Search,Mobile,7,80,0
79,,2021-09-20 15:12:32,Paid Search,Desktop,9,17,0
80,,2023-12-08 23:09:11,Social Media,Mobile,6,25,0
81,,2022-05-02 04:25:42,Direct,Desktop,6,43,0
82,,2021-09-07 10:16:09,Email,Desktop,10,23,0
83,,2023-01-05 07:50:19,Social Media,Mobile,4,48,0
84,,2021-01-07 05:20:51,Social Media,Mobile,6,117,0
85,,2023-04-26 18:06:38,Direct,Mobile,10,255,0
86,,2021-07-23 21:30:31,Email,Desktop,5,2,0
87,,2022-11-11 10:36:46,Direct,Mobile,11,136,0
88,,2021-05-07 09:44:19,Organic Search,Mobile,5,62,0
89,11699,2023-04-16 03:27:03,Direct,Desktop,4,517,0
90,18590,2023-03-26 08:33:13,Direct,Desktop,1,136,0
91,,2022-04-20 12:28:40,Direct,Tablet,4,356,1
92,,2023-06-15 17:36:06,Paid Search,Mobile,5,28,0
93,,2023-09-01 20:24:20,Paid Search,Desktop,7,107,0
94,,2023-01-06 19:39:05,Direct,Mobile,5,220,1
95,,2021-06-09 17:21:39,Direct,Mobile,3,434,0
96,1215,2021-12-21 13:11:46,Referral,Mobile,9,1039,0
97,,2023-10-18 11:41:56,Paid Search,Mobile,4,119,0
98,,2021-11-17 22:35:21,Direct,Mobile,6,425,0
99,,2022-03-13 03:24:32,Organic Search,Tablet,9,284,1
100,,2022-01-17 19:16:07,Direct,Desktop,6,100,0
101,,2022-05-30 20:15:44,Direct,Desktop,4,366,0
102,13685,2021-01-17 01:31:29,Direct,Mobile,5,31,1
103,,2022-01-16 15:59:12,Organic Search,Mobile,4,365,0
104,1531,2022-06-26 05:43:32,Referral,Mobile,4,152,0
105,,2022-09-08 02:38:18,Direct,Mobile,4,71,0
106,,2023-02-09 18:02:20,Paid Search,Desktop,8,111,1
107,,2021-02-04 02:35:49,Social Media,Mobile,5,221,0
108,,2022-03-07 01:33:09,Organic Search,Mobile,5,304,0
109,18693,2021-08-20 16:39:22,Organic Search,Mobile,7,434,0
110,5614,2021-03-10 13:29:28,Referral,Tablet,5,21,0
111,15303,2021-08-05 16:29:18,Paid Search,Mobile,7,311,0
112,,2023-02-03 17:50:26,Social Media,Mobile,3,67,0
113,15619,2023-04-24 17:33:58,Social Media,Mobile,4,63,0
114,3268,2021-05-13 04:32:11,Direct,Desktop,6,180,0
115,12174,2022-05-07 23:52:02,Email,Desktop,2,296,0
116,,2021-06-13 18:53:07,Email,Desktop,6,96,0
117,19771,2023-12-06 16:12:33,Social Media,Desktop,6,31,0
118,,2023-06-11 04:57:59,Organic Search,Mobile,3,41,0
119,14863,2022-11-01 17:59:53,Email,Desktop,6,102,0
120,,2022-07-01 00:37:57,Organic Search,Mobile,6,271,0
121,,2022-09-21 12:29:31,Direct,Tablet,10,59,0
122,,2023-05-15 17:57:12,Paid Search,Desktop,8,308,0
123,,2023-08-05 01:26:31,Organic Search,Mobile,5,39,0
124,8850,2023-11-25 08:04:23,Email,Desktop,6,58,0
125,,2023-04-08 14:15:48,Paid Search,Mobile,3,425,1
126,,2023-09-28 15:18:39,Email,Mobile,5,6,0
127,12985,2021-05-18 08:52:31,Referral,Tablet,5,114,0
128,,2023-09-28 00:11:17,Direct,Desktop,5,265,0
129,,2023-06-04 18:46:11,Email,Mobile,4,47,0
130,,2023-08-30 00:29:02,Direct,Desktop,7,2,0
131,,2022-10-04 11:33:12,Email,Mobile,4,562,0
132,12558,2022-05-07 11:35:34,Paid Search,Desktop,2,167,0
133,,2023-10-15 11:12:13,Organic Search,Mobile,4,73,0
134,,2023-09-14 15:37:43,Email,Tablet,6,131,0
135,,2021-03-27 10:52:02,Social Media,Desktop,4,254,0
136,,2021-06-03 05:14:11,Social Media,Mobile,4,39,0
137,,2022-11-09 09:57:28,Organic Search,Mobile,9,146,0
138,,2021-03-29 14:08:24,Organic Search,Mobile,5,173,0
139,,2023-06-01 22:15:09,Email,Desktop,9,170,0
140,,2021-06-30 19:32:55,Organic Search,Desktop,6,79,0
141,,2021-11-05 23:52:17,Email,Desktop,2,151,0
142,,2022-11-21 08:19:12,Direct,Mobile,6,10,0
143,2498,2021-08-17 07:43:06,Email,Desktop,3,46,0
144,,2023-05-07 06:39:26,Paid Search,Mobile,9,6,0
145,,2022-02-15 20:44:04,Referral,Tablet,4,82,1
146,,2022-01-19 19:56:19,Direct,Mobile,5,0,0
147,3008,2022-06-11 08:52:05,Organic Search,Mobile,2,343,0
148,,2022-05-13 23:40:51,Direct,Desktop,5,21,0
149,7816,2023-01-29 23:24:39,Direct,Mobile,7,93,0
150,,2022-03-19 09:37:14,Organic Search,Mobile,2,24,0
151,1274,2022-09-18 22:07:23,Social Media,Tablet,9,6,0
152,,2023-03-29 19:36:43,Referral,Mobile,8,166,0
153,,2023-09-05 18:45:37,Email,Mobile,6,20,0
154,,2022-08-24 17:18:23,Email,Desktop,2,59,0
155,,2022-07-20 18:26:04,Email,Desktop,4,4,0
156,7902,2021-12-21 09:30:41,Email,Mobile,2,465,0
157,,2021-08-18 10:52:58,Paid Search,Mobile,5,583,0
158,,2021-12-26 06:56:26,Organic Search,Mobile,6,14,0
159,,2021-09-18 09:42:36,Paid Search,Mobile,5,75,0
160,,2022-07-15 08:24:38,Social Media,Desktop,6,3,0
161,7355,2022-04-13 01:25:26,Email,Desktop,6,440,0
162,,2021-10-20 16:33:30,Social Media,Mobile,4,23,0
163,,2021-10-16 07:21:14,Referral,Desktop,4,384,0
164,,2022-07-30 08:46:40,Email,Mobile,4,152,0
165,,2021-02-25 03:18:57,Paid Search,Desktop,3,229,0
166,,2022-06-25 00:42:16,Email,Mobile,4,477,0
167,4307,2023-02-06 19:43:41,Paid Search,Desktop,4,15,0
168,17036,2022-05-19 11:28:12,Email,Mobile,4,329,0
169,12275,2023-12-06 08:38:00,Direct,Desktop,6,391,0
170,,2022-12-19 08:08:49,Social Media,Mobile,4,119,0
171,,2021-02-26 04:44:55,Referral,Mobile,5,4,0
172,19739,2023-09-17 03:41:29,Direct,Desktop,4,63,0
173,,2023-07-02 17:20:11,Social Media,Mobile,2,273,0
174,,2022-10-30 20:54:54,Paid Search,Mobile,9,25,0
175,17742,2021-04-09 12:28:16,Referral,Mobile,6,70,0
176,18756,2021-12-01 07:16:12,Paid Search,Mobile,5,98,0
177,19310,2023-01-28 08:28:22,Direct,Mobile,7,42,0
178,,2022-02-26 02:31:13,Paid Search,Desktop,3,48,0
179,,2023-11-04 10:43:44,Direct,Desktop,8,279,0
180,,2022-10-12 09:19:13,Direct,Mobile,4,226,1
181,,2022-10-08 20:40:57,Organic Search,Mobile,6,40,0
182,10832,2022-06-18 12:46:55,Email,Tablet,7,215,0
183,,2023-03-17 06:03:09,Organic Search,Mobile,6,288,0
184,18214,2023-04-04 12:55:43,Organic Search,Desktop,3,80,0
185,15460,2023-04-18 05:18:20,Organic Search,Desktop,4,548,0
186,,2021-09-15 00:01:48,Email,Desktop,4,18,0
187,,2023-07-12 15:11:22,Organic Search,Mobile,5,48,0
188,13304,2021-01-28 11:23:26,Direct,Tablet,3,272,0
189,,2022-04-19 16:43:23,Paid Search,Desktop,8,370,0
190,,2021-07-19 22:35:04,Organic Search,Mobile,5,101,0
191,,2023-02-18 13:49:03,Referral,Mobile,3,182,0
192,,2023-11-22 22:40:11,Social Media,Mobile,6,562,0
193,565,2022-07-17 07:29:41,Direct,Mobile,7,644,0
194,,2022-06-18 14:24:16,Paid Search,Mobile,5,425,0
195,,2022-08-21 04:18:11,Email,Mobile,2,50,0
196,,2022-01-30 06:07:51,Organic Search,Tablet,5,728,0
197,,2022-12-07 20:11:15,Paid Search,Desktop,6,471,0
198,12427,2022-11-19 14:03:57,Email,Mobile,5,377,0
199,5375,2021-12-20 02:36:23,Organic Search,Mobile,6,47,0
200,,2022-05-27 04:29:40,Organic Search,Desktop,6,188,0
201,,2022-09-17 09:00:19,Referral,Desktop,3,57,0
202,,2022-02-08 14:07:56,Direct,Tablet,7,541,0
203,19474,2021-03-28 07:16:52,Direct,Mobile,2,151,0
204,,2023-10-25 14:18:36,Email,Mobile,7,48,0
205,,2023-08-09 09:43:59,Social Media,Mobile,5,224,0
206,,2021-11-05 05:56:35,Social Media,Mobile,3,93,0
207,,2022-02-08 04:03:26,Social Media,Desktop,4,227,0
208,,2022-06-03 10:35:30,Email,Mobile,5,153,0
209,,2022-06-05 02:09:23,Paid Search,Mobile,6,10,0
210,,2022-09-11 13:45:26,Email,Desktop,4,56,0
211,7438,2021-04-13 07:09:40,Direct,Desktop,6,488,0
212,,2023-08-11 17:46:32,Referral,Tablet,10,183,0
213,,2021-01-31 12:55:17,Organic Search,Mobile,6,307,0
214,655,2022-05-13 13:52:48,Organic Search,Mobile,5,436,0
215,,2022-01-03 06:34:26,Email,Mobile,5,119,0
216,,2023-03-24 17:21:59,Organic Search,Mobile,5,203,0
217,19887,2021-06-07 19:19:34,Direct,Desktop,3,159,0
218,7599,2021-09-20 15:49:32,Direct,Mobile,6,141,0
219,,2022-01-19 14:01:23,Email,Mobile,9,297,0
220,,2021-09-06 09:31:41,Email,Mobile,5,18,0
221,,2023-02-09 15:22:15,Paid Search,Desktop,1,200,0
222,,2021-12-27 04:45:44,Organic Search,Mobile,5,70,0
223,,2022-11-14 18:00:19,Direct,Tablet,10,328,0
224,,2023-02-19 22:36:24,Direct,Desktop,5,123,0
225,,2021-11-20 09:33:59,Email,Desktop,4,100,0
226,,2023-02-03 20:31:29,Organic Search,Mobile,4,239,0
227,,2022-12-30 03:39:57,Email,Desktop,3,380,0
228,,2022-04-24 14:15:09,Organic Search,Mobile,8,210,0
229,,2023-09-26 00:22:33,Paid Search,Mobile,5,122,0
230,14779,2021-09-01 18:13:20,Referral,Desktop,4,128,0
231,,2023-07-23 07:34:44,Organic Search,Mobile,3,11,0
232,,2021-07-17 12:51:24,Social Media,Mobile,6,135,1
233,,2022-01-06 03:52:06,Referral,Mobile,5,69,1
234,,2022-09-15 13:59:14,Referral,Desktop,3,226,0
235,,2022-09-30 02:12:23,Organic Search,Desktop,5,436,0
236,,2023-01-20 18:36:09,Direct,Mobile,6,115,0
237,,2023-11-11 19:09:15,Social Media,Desktop,5,32,0
238,,2021-04-10 16:58:05,Email,Mobile,1,198,0
239,5088,2023-03-11 03:09:57,Organic Search,Tablet,5,9,0
240,,2023-03-19 13:32:11,Paid Search,Mobile,5,382,0
241,7325,2023-01-29 07:12:09,Organic Search,Tablet,4,89,0
242,,2022-10-24 08:16:39,Social Media,Desktop,8,20,0
243,14341,2021-09-17 18:10:10,Direct,Mobile,6,252,0
244,,2022-05-24 12:23:03,Organic Search,Mobile,6,186,0
245,,2022-08-14 15:08:55,Referral,Mobile,6,115,0
246,,2022-05-14 18:44:21,Social Media,Mobile,6,15,0
247,7563,2021-09-10 05:49:08,Organic Search,Mobile,7,30,0
248,124,2021-04-25 23:55:27,Social Media,Mobile,5,275,0
249,,2021-06-08 12:39:33,Email,Mobile,6,481,0
250,,2021-05-28 09:50:59,Referral,Mobile,5,190,0
251,11069,2022-01-07 07:49:10,Organic Search,Desktop,5,196,0
252,15190,2022-08-14 09:12:35,Direct,Mobile,2,20,0
253,4105,2021-05-07 15:21:11,Social Media,Mobile,7,14,1
254,,2022-12-16 19:31:16,Email,Mobile,4,147,0
255,,2023-07-09 13:56:37,Referral,Mobile,5,87,0
256,,2021-10-20 08:38:15,Paid Search,Mobile,4,81,0
257,,2023-06-11 11:07:47,Paid Search,Desktop,3,18,0
258,,2022-12-26 21:51:33,Referral,Mobile,3,31,0
259,,2022-12-20 17:54:25,Direct,Desktop,7,42,1
260,361,2022-05-13 20:54:58,Paid Search,Desktop,7,42,0
261,3362,2022-02-17 21:34:13,Organic Search,Desktop,6,677,0
262,,2021-12-21 07:13:49,Referral,Desktop,9,115,0
263,,2021-02-21 11:48:48,Organic Search,Mobile,4,157,0
264,,2021-01-09 18:58:06,Paid Search,Mobile,6,150,0
265,2910,2023-11-02 05:55:48,Organic Search,Mobile,5,140,0
266,,2022-06-17 18:25:23,Organic Search,Desktop,5,65,0
267,11988,2023-02-02 14:48:54,Organic Search,Mobile,4,2,0
268,,2021-10-31 21:35:56,Referral,Desktop,3,310,0
269,,2022-01-21 10:21:35,Referral,Desktop,6,432,0
270,7276,2023-04-05 21:01:12,Referral,Tablet,8,51,0
271,,2021-10-08 03:54:20,Referral,Mobile,7,219,0
272,,2021-06-15 02:05:06,Social Media,Desktop,6,185,0
273,,2023-10-23 01:55:11,Organic Search,Desktop,6,86,0
274,16779,2023-10-06 13:41:47,Direct,Mobile,4,932,0
275,,2023-11-25 10:32:53,Social Media,Desktop,4,321,0
276,,2023-09-03 00:09:02,Email,Tablet,5,578,0
277,,2023-03-03 00:22:55,Social Media,Tablet,3,396,1
278,,2021-02-22 19:14:14,Email,Tablet,4,94,0
279,,2023-03-21 10:32:34,Referral,Desktop,5,265,0
280,,2021-09-01 09:43:44,Paid Search,Mobile,4,41,0
281,,2023-03-30 07:18:42,Organic Search,Tablet,5,88,0
282,,2023-07-15 18:11:40,Email,Mobile,6,215,0
283,1598,2021-12-11 16:28:56,Paid Search,Mobile,5,477,0
284,,2022-08-11 09:37:08,Direct,Desktop,10,40,0
285,,2023-01-04 04:26:18,Social Media,Mobile,6,402,0
286,,2022-05-25 04:33:50,Organic Search,Desktop,5,148,0
287,,2022-09-11 20:34:49,Email,Mobile,3,53,0
288,1752,2022-04-21 23:15:06,Email,Mobile,5,462,0
289,9462,2023-11-01 03:35:30,Referral,Mobile,3,104,0
290,,2021-08-31 01:31:26,Organic Search,Tablet,5,1,0
291,18921,2022-10-09 13:51:02,Social Media,Mobile,2,412,0
292,,2022-08-19 07:16:08,Organic Search,Desktop,3,187,0
293,,2023-01-28 05:46:24,Email,Desktop,3,3,0
294,12310,2022-05-12 06:47:22,Paid Search,Mobile,13,58,0
295,,2022-01-10 00:04:02,Direct,Desktop,9,3,0
296,,2023-05-06 10:32:59,Direct,Mobile,5,623,0
297,,2022-03-18 05:56:22,Referral,Desktop,7,128,0
298,,2022-02-12 03:38:03,Email,Desktop,8,38,0
299,,2022-12-08 20:09:26,Email,Mobile,2,124,0
300,271,2021-01-21 10:13:22,Social Media,Desktop,5,10,0
301,,2022-08-02 09:52:59,Social Media,Mobile,5,102,0
302,5642,2023-09-13 10:09:57,Referral,Tablet,9,14,0
303,12926,2022-02-28 23:30:36,Paid Search,Desktop,4,48,1
304,11860,2023-08-23 19:56:49,Social Media,Desktop,4,187,0
305,,2021-12-20 16:26:38,Paid Search,Desktop,4,21,0
306,,2021-05-03 13:53:28,Referral,Mobile,3,16,0
307,,2022-02-23 04:17:28,Organic Search,Desktop,6,67,0
308,,2022-01-04 12:59:30,Email,Mobile,3,5,0
309,,2021-08-22 14:23:36,Referral,Mobile,8,80,0
310,,2022-02-09 22:52:01,Paid Search,Desktop,5,0,0
311,,2021-10-06 23:38:20,Paid Search,Mobile,4,18,0
312,,2021-11-03 12:53:03,Paid Search,Mobile,6,48,0
313,,2021-12-10 15:32:04,Direct,Tablet,4,370,0
314,,2023-07-22 07:02:34,Direct,Tablet,8,174,0
315,,2021-12-26 09:03:47,Organic Search,Mobile,2,82,0
316,,2022-09-06 08:51:16,Email,Mobile,4,30,0
317,,2023-01-02 18:20:42,Referral,Desktop,4,114,0
318,,2021-09-30 04:17:38,Social Media,Desktop,4,181,0
319,,2022-07-28 23:07:59,Referral,Mobile,3,363,0
320,,2023-01-13 11:56:26,Referral,Mobile,4,124,0
321,,2021-07-23 22:19:52,Paid Search,Mobile,3,193,0
322,7251,2021-05-16 08:39:39,Direct,Desktop,6,489,0
323,,2021-05-24 20:41:49,Organic Search,Desktop,4,488,0
324,,2023-05-04 17:36:20,Social Media,Mobile,5,435,0
325,,2023-05-30 22:25:00,Paid Search,Mobile,5,217,0
326,,2022-10-03 21:23:54,Organic Search,Desktop,1,18,0
327,,2021-07-10 17:46:13,Paid Search,Tablet,3,65,0
328,,2023-08-20 22:12:07,Social Media,Mobile,6,23,0
329,,2021-06-26 03:14:41,Organic Search,Desktop,3,94,0
330,3484,2022-06-28 08:07:51,Referral,Mobile,4,208,0
331,,2021-05-22 09:19:38,Social Media,Desktop,4,50,0
332,,2021-12-10 23:07:22,Social Media,Mobile,1,129,0
333,15315,2023-03-14 13:35:33,Email,Mobile,7,216,1
334,6762,2023-12-17 02:39:22,Referral,Desktop,6,94,0
335,,2021-10-13 19:15:31,Referral,Mobile,5,6,0
336,,2022-10-10 21:46:17,Referral,Desktop,6,174,1
337,,2023-02-04 09:10:09,Direct,Tablet,4,338,0
338,,2023-11-05 20:10:54,Social Media,Desktop,8,484,0
339,17940,2021-09-06 03:11:18,Direct,Mobile,3,82,1
340,,2023-01-06 20:21:23,Paid Search,Desktop,7,302,0
341,,2022-10-31 11:42:30,Organic Search,Mobile,7,369,0
342,,2021-02-23 09:59:05,Organic Search,Desktop,6,101,0
343,,2022-12-22 17:15:28,Direct,Desktop,3,262,0
344,18092,2023-10-12 14:27:51,Organic Search,Desktop,4,302,0
345,3087,2022-06-21 03:14:43,Email,Mobile,3,124,0
346,,2023-07-31 11:43:02,Direct,Desktop,7,101,0
347,,2023-03-11 19:31:33,Paid Search,Mobile,7,45,0
348,,2022-11-11 00:20:52,Referral,Desktop,12,6,0
349,,2021-01-05 15:27:55,Paid Search,Mobile,5,505,0
350,,2022-10-18 07:14:00,Organic Search,Desktop,4,394,0
351,8531,2022-06-27 18:16:51,Direct,Mobile,4,240,0
352,15473,2023-08-31 17:49:56,Organic Search,Mobile,8,253,0
353,11577,2022-08-19 04:15:23,Social Media,Tablet,5,25,0
354,,2022-12-27 11:28:29,Paid Search,Tablet,10,213,0
355,,2023-06-19 23:01:17,Organic Search,Desktop,5,35,0
356,,2022-06-04 06:27:56,Paid Search,Mobile,6,30,0
357,,2021-10-01 03:35:12,Social Media,Mobile,7,163,0
358,,2021-08-16 16:01:14,Referral,Mobile,8,13,0
359,,2022-07-31 20:16:14,Email,Mobile,6,304,0
360,7796,2022-05-22 11:59:17,Social Media,Desktop,4,321,0
361,,2022-11-17 20:58:01,Social Media,Mobile,4,494,0
362,,2022-03-02 11:50:08,Social Media,Mobile,1,184,0
363,,2023-12-03 02:27:12,Email,Mobile,3,13,0
364,5954,2021-09-14 08:48:48,Direct,Mobile,9,55,0
365,3471,2022-02-14 07:32:28,Paid Search,Desktop,8,261,0
366,4681,2023-06-04 00:04:01,Referral,Mobile,8,134,0
367,16282,2023-12-04 06:24:54,Social Media,Mobile,6,51,0
368,,2022-10-17 05:12:28,Referral,Desktop,5,434,0
369,,2021-03-28 21:44:22,Social Media,Desktop,5,228,1
370,18661,2021-08-24 20:07:39,Paid Search,Desktop,5,132,0
371,,2022-04-05 15:41:41,Social Media,Mobile,6,48,1
372,,2021-05-12 05:14:44,Referral,Mobile,4,71,0
373,,2021-01-17 13:06:59,Paid Search,Mobile,5,31,0
374,,2022-02-11 07:29:12,Social Media,Desktop,4,556,0
375,,2023-12-06 17:21:22,Organic Search,Desktop,4,101,0
376,,2022-04-28 18:05:54,Social Media,Mobile,5,174,0
377,,2022-12-14 16:13:42,Direct,Desktop,3,186,0
378,2905,2021-11-18 21:53:02,Direct,Mobile,8,91,0
379,17605,2021-09-05 16:01:04,Organic Search,Tablet,8,30,0
380,12195,2021-05-12 17:28:14,Direct,Mobile,8,69,0
381,,2021-04-14 16:16:06,Organic Search,Mobile,6,334,0
382,,2022-11-05 08:11:21,Organic Search,Desktop,8,304,0
383,,2021-12-19 16:48:44,Referral,Mobile,7,29,0
384,15141,2022-10-10 05:42:06,Direct,Desktop,7,72,0
385,,2021-05-11 20:01:12,Referral,Mobile,7,13,0
386,,2022-11-01 00:36:33,Organic Search,Tablet,6,86,0
387,,2022-05-25 19:40:48,Paid Search,Desktop,4,537,0
388,,2023-10-23 21:36:50,Direct,Mobile,5,189,0
389,11677,2022-05-05 17:51:57,Organic Search,Mobile,6,63,0
390,,2023-12-08 22:27:41,Direct,Mobile,8,136,0
391,,2022-05-25 16:16:05,Direct,Mobile,7,7,0
392,,2022-06-24 14:11:31,Social Media,Desktop,6,154,0
393,1057,2021-05-18 16:11:26,Email,Desktop,3,201,0
394,,2023-12-17 00:04:50,Organic Search,Desktop,3,64,0
395,,2023-06-11 07:21:11,Email,Mobile,6,104,0
396,,2021-01-01 22:38:44,Referral,Tablet,7,22,0
397,,2023-06-09 13:37:23,Social Media,Desktop,4,71,0
398,16203,2023-01-01 04:14:15,Direct,Mobile,5,10,1
399,16364,2023-04-10 05:48:15,Direct,Desktop,2,34,0
400,,2021-12-26 21:38:25,Organic Search,Mobile,4,313,0
401,,2023-03-14 08:19:08,Organic Search,Mobile,8,206,0
402,,2023-08-03 07:10:09,Email,Desktop,5,66,0
403,,2022-05-27 17:50:26,Organic Search,Desktop,4,32,0
404,,2021-05-30 05:40:27,Paid Search,Desktop,5,74,0
405,,2022-04-12 16:39:01,Referral,Mobile,3,513,0
406,,2023-10-18 07:42:54,Email,Mobile,8,125,1
407,,2023-01-26 08:54:48,Direct,Mobile,2,29,1
408,,2021-12-31 04:54:37,Paid Search,Desktop,3,64,0
409,,2023-12-08 07:07:07,Direct,Mobile,4,178,0
410,,2021-04-19 06:06:32,Direct,Mobile,4,49,0
411,,2022-06-05 04:46:23,Social Media,Mobile,6,61,0
412,3791,2023-06-24 15:31:59,Organic Search,Mobile,6,370,0
413,,2022-10-31 22:56:08,Referral,Desktop,6,25,0
414,,2021-09-10 23:34:19,Paid Search,Desktop,7,63,0
415,,2022-11-12 22:17:18,Paid Search,Mobile,9,20,0
416,,2023-10-14 22:51:03,Email,Desktop,5,85,0
417,,2021-07-06 13:04:57,Referral,Desktop,3,146,0
418,16245,2023-11-15 08:32:45,Email,Mobile,4,7,0
419,5057,2022-01-23 02:51:32,Email,Desktop,4,108,0
420,,2023-03-04 13:42:49,Social Media,Mobile,7,59,0
421,,2021-09-20 14:04:47,Referral,Desktop,4,23,0
422,,2021-10-17 17:45:50,Paid Search,Mobile,4,53,0
423,,2023-05-09 17:15:00,Email,Tablet,7,263,0
424,12750,2023-09-02 19:17:58,Paid Search,Mobile,5,209,0
425,,2021-08-13 00:51:16,Email,Tablet,2,77,0
426,,2023-04-18 11:42:17,Email,Mobile,7,24,0
427,,2021-07-12 23:30:30,Referral,Mobile,6,98,0
428,,2021-07-02 19:33:34,Social Media,Tablet,5,262,0
429,,2022-11-10 03:42:49,Direct,Tablet,6,213,0
430,18899,2022-10-30 10:31:34,Social Media,Mobile,10,146,0
431,,2021-06-29 12:40:11,Paid Search,Desktop,7,94,0
432,,2023-06-26 08:39:59,Organic Search,Mobile,8,37,1
