order_id,customer_id,order_date,product_id,product_name,category,quantity,unit_price,total_amount,acquisition_channel,shipping_state,order_status
GA4-100025,USR-2306,2025-05-01,GGOEGAAB010516,Android Collectible Figurine,Accessories,1,18.0,18.0,Organic Search,FL,Completed
GA4-100026,USR-6575,2025-05-17,GGOEGBJR013999,Google Stainless Steel Water Bottle,Drinkware,1,22.0,22.0,Organic Search,VA,Completed
GA4-100027,USR-2998,2025-11-11,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,1,99.99,99.99,Direct,WA,Completed
GA4-100028,USR-6232,2025-11-14,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Organic Search,MA,Completed
GA4-100029,USR-4457,2025-04-23,GGOEGBJR013999,Google Stainless Steel Water Bottle,Drinkware,1,22.0,22.0,Organic Search,CA,Completed
GA4-100030,USR-5097,2025-05-10,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,1,99.99,99.99,Organic Search,CA,Completed
GA4-100031,USR-4474,2025-05-06,GGOEAAEB099214,Chrome Dino Socks,Apparel,1,12.5,12.5,Direct,FL,Completed
GA4-100032,USR-6535,2025-09-04,GGOEGAAB010516,Android Collectible Figurine,Accessories,1,18.0,18.0,Organic Search,CA,Completed
GA4-100033,USR-1766,2025-10-21,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,1,65.0,65.0,Social,FL,Completed
GA4-100034,USR-2930,2025-08-28,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Direct,TX,Completed
GA4-100035,USR-1659,2025-09-09,GGOEGAAB010516,Android Collectible Figurine,Accessories,1,18.0,18.0,Direct,TX,Completed
GA4-100036,USR-4219,2025-12-18,GGOEGFXQ016399,Pixel Stand Wireless Charger,Electronics,1,79.0,79.0,Referral,MA,Completed
GA4-100037,USR-3385,2025-12-26,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Referral,NY,Completed
GA4-100038,USR-7294,2025-10-25,GGOEYHPB098810,YouTube Crewneck Sweatshirt,Apparel,1,48.0,48.0,Organic Search,CO,Completed
GA4-100039,USR-4643,2026-01-04,GGOEAAEB099214,Chrome Dino Socks,Apparel,3,12.5,37.5,Social,IL,Completed
GA4-100040,USR-4108,2025-06-09,GGOEGFXQ016399,Pixel Stand Wireless Charger,Electronics,1,79.0,79.0,Organic Search,TX,Completed
GA4-100041,USR-5499,2025-06-01,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,2,99.99,199.98,Direct,CA,Completed
GA4-100042,USR-6539,2025-04-14,GGOEGAAB010516,Android Collectible Figurine,Accessories,1,18.0,18.0,Organic Search,CO,Completed
GA4-100043,USR-1098,2025-06-02,GGOEAAEB099214,Chrome Dino Socks,Apparel,1,12.5,12.5,Direct,FL,Completed
GA4-100044,USR-4234,2025-07-27,GGOEFAAB010617,Google Rainbow Enamel Pin,Accessories,1,6.5,6.5,Organic Search,IL,Completed
GA4-100045,USR-5911,2025-05-15,GGOEYHPB098810,YouTube Crewneck Sweatshirt,Apparel,1,48.0,48.0,Direct,TX,Completed
GA4-100046,USR-5565,2026-01-10,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,1,99.99,99.99,Social,TX,Completed
GA4-100047,USR-3485,2025-09-21,GGOEAAEB099214,Chrome Dino Socks,Apparel,1,12.5,12.5,Direct,CA,Completed
GA4-100048,USR-5548,2025-11-13,GGOEYHPB098810,YouTube Crewneck Sweatshirt,Apparel,1,48.0,48.0,Referral,CA,Completed
GA4-100049,USR-2243,2025-06-07,GGOEGBJR013999,Google Stainless Steel Water Bottle,Drinkware,2,22.0,44.0,Referral,IL,Completed
GA4-100050,USR-3327,2025-12-15,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Direct,CA,Completed
GA4-100051,USR-2139,2025-07-10,GGOEGBJR013999,Google Stainless Steel Water Bottle,Drinkware,1,22.0,22.0,Organic Search,TX,Completed
GA4-100052,USR-1127,2025-01-18,GGOEFAAB010617,Google Rainbow Enamel Pin,Accessories,1,6.5,6.5,Paid Search,TX,Completed
GA4-100053,USR-2895,2025-06-23,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,1,65.0,65.0,Referral,MA,Completed
GA4-100054,USR-4009,2025-05-07,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,2,26.5,53.0,Referral,CA,Completed
GA4-100055,USR-5341,2025-06-25,GGOEGFXQ016399,Pixel Stand Wireless Charger,Electronics,1,79.0,79.0,Paid Search,TX,Completed
GA4-100056,USR-2841,2025-01-13,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,1,26.5,26.5,Direct,WA,Completed
GA4-100057,USR-3368,2025-09-21,GGOEYHPB098810,YouTube Crewneck Sweatshirt,Apparel,1,48.0,48.0,Organic Search,NY,Completed
GA4-100058,USR-6919,2025-08-03,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,1,99.99,99.99,Organic Search,FL,Completed
GA4-100059,USR-7457,2025-02-27,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,1,99.99,99.99,Organic Search,FL,Completed
GA4-100060,USR-3491,2025-04-11,GGOEGFKQ014499,Google Cloud White Tee,Apparel,2,24.99,49.98,Organic Search,IL,Completed
GA4-100061,USR-6222,2025-07-15,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,1,99.99,99.99,Direct,TX,Completed
GA4-100062,USR-5364,2026-01-05,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,1,26.5,26.5,Referral,TX,Completed
GA4-100063,USR-4675,2025-02-27,GGOEGFXQ016399,Pixel Stand Wireless Charger,Electronics,1,79.0,79.0,Organic Search,MA,Completed
GA4-100064,USR-2150,2025-05-09,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,2,26.5,53.0,Direct,FL,Completed
GA4-100065,USR-1559,2025-03-30,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,2,65.0,130.0,Direct,MA,Completed
GA4-100066,USR-5799,2025-03-10,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,1,99.99,99.99,Organic Search,NC,Completed
GA4-100067,USR-2679,2025-03-27,GGOEFAAB010617,Google Rainbow Enamel Pin,Accessories,1,6.5,6.5,Organic Search,CA,Completed
GA4-100068,USR-3141,2025-08-26,GGOEGAAB010516,Android Collectible Figurine,Accessories,1,18.0,18.0,Organic Search,NC,Completed
GA4-100069,USR-3479,2025-12-07,GGOEGFXQ016399,Pixel Stand Wireless Charger,Electronics,1,79.0,79.0,Direct,IL,Completed
GA4-100070,USR-3070,2025-09-07,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,2,26.5,53.0,Paid Search,WA,Completed
GA4-100071,USR-4730,2025-04-06,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Referral,VA,Completed
GA4-100072,USR-1335,2025-09-04,GGOEAAEB099214,Chrome Dino Socks,Apparel,1,12.5,12.5,Direct,WA,Completed
GA4-100073,USR-2687,2025-06-27,GGOEYHPB098810,YouTube Crewneck Sweatshirt,Apparel,1,48.0,48.0,Direct,TX,Completed
GA4-100074,USR-4498,2025-04-11,GGOEYHPB098810,YouTube Crewneck Sweatshirt,Apparel,2,48.0,96.0,Direct,NY,Completed
GA4-100075,USR-3546,2025-08-30,GGOEYHPB098810,YouTube Crewneck Sweatshirt,Apparel,1,48.0,48.0,Direct,NC,Completed
GA4-100076,USR-2625,2025-04-25,GGOEFAAB010617,Google Rainbow Enamel Pin,Accessories,1,6.5,6.5,Referral,NY,Completed
GA4-100077,USR-2516,2025-03-16,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,1,65.0,65.0,Paid Search,CO,Completed
GA4-100078,USR-1675,2025-12-23,GGOEFAAB010617,Google Rainbow Enamel Pin,Accessories,1,6.5,6.5,Direct,TX,Completed
GA4-100079,USR-5079,2025-02-05,GGOEAAEB099214,Chrome Dino Socks,Apparel,1,12.5,12.5,Direct,MA,Completed
GA4-100080,USR-5132,2025-09-25,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Referral,TX,Completed
GA4-100081,USR-5968,2025-10-13,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Direct,CO,Completed
GA4-100082,USR-2365,2025-07-06,GGOEYHPB098810,YouTube Crewneck Sweatshirt,Apparel,1,48.0,48.0,Organic Search,CO,Completed
GA4-100083,USR-5171,2025-09-22,GGOEGFXQ016399,Pixel Stand Wireless Charger,Electronics,3,79.0,237.0,Referral,WA,Completed
GA4-100084,USR-5946,2026-01-02,GGOEGBJR013999,Google Stainless Steel Water Bottle,Drinkware,1,22.0,22.0,Direct,WA,Completed
GA4-100085,USR-3938,2025-02-22,GGOEGFXQ016399,Pixel Stand Wireless Charger,Electronics,2,79.0,158.0,Organic Search,IL,Completed
GA4-100086,USR-6161,2025-07-05,GGOEGFXQ016399,Pixel Stand Wireless Charger,Electronics,3,79.0,237.0,Organic Search,TX,Completed
GA4-100087,USR-6334,2025-08-09,GGOEAAEB099214,Chrome Dino Socks,Apparel,3,12.5,37.5,Referral,NC,Completed
GA4-100088,USR-3539,2025-09-10,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,1,99.99,99.99,Referral,NC,Completed
GA4-100089,USR-6512,2025-10-10,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,1,26.5,26.5,Direct,FL,Completed
GA4-100090,USR-3386,2025-05-16,GGOEGFKQ014499,Google Cloud White Tee,Apparel,2,24.99,49.98,Organic Search,MA,Completed
GA4-100091,USR-5312,2025-10-28,GGOEGAAB010516,Android Collectible Figurine,Accessories,1,18.0,18.0,Referral,TX,Completed
GA4-100092,USR-3923,2025-07-01,GGOEGFXQ016399,Pixel Stand Wireless Charger,Electronics,1,79.0,79.0,Display,MA,Completed
GA4-100093,USR-4522,2025-06-22,GGOEAAEB099214,Chrome Dino Socks,Apparel,1,12.5,12.5,Organic Search,VA,Completed
GA4-100094,USR-5924,2025-12-27,GGOEGFXQ016399,Pixel Stand Wireless Charger,Electronics,1,79.0,79.0,Direct,CO,Completed
GA4-100095,USR-2214,2026-01-04,GGOEFAAB010617,Google Rainbow Enamel Pin,Accessories,2,6.5,13.0,Organic Search,FL,Completed
GA4-100096,USR-3105,2025-02-13,GGOEGBJR013999,Google Stainless Steel Water Bottle,Drinkware,1,22.0,22.0,Display,IL,Completed
GA4-100097,USR-6795,2025-08-15,GGOEYHPB098810,YouTube Crewneck Sweatshirt,Apparel,3,48.0,144.0,Direct,CO,Completed
GA4-100098,USR-4376,2025-01-14,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Direct,MA,Completed
GA4-100099,USR-6131,2025-11-26,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,1,65.0,65.0,Organic Search,IL,Completed
GA4-100100,USR-6127,2025-05-02,GGOEGAAB010516,Android Collectible Figurine,Accessories,1,18.0,18.0,Organic Search,NY,Completed
GA4-100101,USR-1539,2025-08-08,GGOEGBJR013999,Google Stainless Steel Water Bottle,Drinkware,3,22.0,66.0,Social,FL,Completed
GA4-100102,USR-6320,2025-07-31,GGOEYHPB098810,YouTube Crewneck Sweatshirt,Apparel,2,48.0,96.0,Display,IL,Completed
GA4-100103,USR-2838,2025-01-10,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,2,65.0,130.0,Direct,IL,Completed
GA4-100104,USR-2015,2025-10-16,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,2,99.99,199.98,Social,CA,Completed
GA4-100105,USR-6898,2025-12-07,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,1,26.5,26.5,Social,CA,Completed
GA4-100106,USR-6580,2025-04-08,GGOEFAAB010617,Google Rainbow Enamel Pin,Accessories,1,6.5,6.5,Organic Search,MA,Completed
GA4-100107,USR-5613,2025-07-16,GGOEGBJR013999,Google Stainless Steel Water Bottle,Drinkware,3,22.0,66.0,Direct,IL,Completed
GA4-100108,USR-4636,2025-06-14,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,2,26.5,53.0,Organic Search,CO,Completed
GA4-100109,USR-6997,2025-01-01,GGOEYHPB098810,YouTube Crewneck Sweatshirt,Apparel,1,48.0,48.0,Organic Search,CA,Completed
GA4-100110,USR-5976,2025-10-15,GGOEAAEB099214,Chrome Dino Socks,Apparel,1,12.5,12.5,Organic Search,NC,Completed
GA4-100111,USR-1249,2025-06-11,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,2,99.99,199.98,Direct,CA,Completed
GA4-100112,USR-2077,2025-08-24,GGOEGBJR013999,Google Stainless Steel Water Bottle,Drinkware,1,22.0,22.0,Referral,CA,Completed
GA4-100113,USR-5719,2025-09-12,GGOEGFXQ016399,Pixel Stand Wireless Charger,Electronics,2,79.0,158.0,Direct,NY,Completed
GA4-100114,USR-3122,2025-04-13,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,1,99.99,99.99,Social,NY,Completed
GA4-100115,USR-7241,2025-12-04,GGOEYHPB098810,YouTube Crewneck Sweatshirt,Apparel,2,48.0,96.0,Organic Search,FL,Completed
GA4-100116,USR-2358,2025-01-30,GGOEGFXQ016399,Pixel Stand Wireless Charger,Electronics,1,79.0,79.0,Referral,WA,Completed
GA4-100117,USR-1137,2025-07-03,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Organic Search,VA,Completed
GA4-100118,USR-5164,2025-02-03,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,1,99.99,99.99,Organic Search,TX,Completed
GA4-100119,USR-7254,2025-09-06,GGOEGFXQ016399,Pixel Stand Wireless Charger,Electronics,1,79.0,79.0,Organic Search,FL,Completed
GA4-100120,USR-7031,2025-01-08,GGOEGAAB010516,Android Collectible Figurine,Accessories,1,18.0,18.0,Organic Search,TX,Completed
GA4-100121,USR-2887,2025-07-14,GGOEAAEB099214,Chrome Dino Socks,Apparel,1,12.5,12.5,Organic Search,IL,Completed
GA4-100122,USR-6124,2025-04-02,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,1,26.5,26.5,Organic Search,CA,Completed
GA4-100123,USR-7376,2025-01-12,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,2,26.5,53.0,Organic Search,NC,Completed
GA4-100124,USR-6932,2025-03-14,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,2,26.5,53.0,Direct,VA,Completed
GA4-100125,USR-7493,2025-04-17,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Paid Search,CA,Completed
GA4-100126,USR-6986,2025-09-10,GGOEGAAB010516,Android Collectible Figurine,Accessories,1,18.0,18.0,Organic Search,FL,Completed
GA4-100127,USR-1525,2025-01-28,GGOEGFXQ016399,Pixel Stand Wireless Charger,Electronics,1,79.0,79.0,Referral,NC,Completed
GA4-100128,USR-5621,2025-07-06,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,1,65.0,65.0,Referral,MA,Completed
GA4-100129,USR-3797,2025-12-29,GGOEAAEB099214,Chrome Dino Socks,Apparel,1,12.5,12.5,Direct,CO,Completed
GA4-100130,USR-6750,2025-01-28,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,1,26.5,26.5,Paid Search,FL,Completed
GA4-100131,USR-1125,2025-10-27,GGOEFAAB010617,Google Rainbow Enamel Pin,Accessories,2,6.5,13.0,Direct,WA,Completed
GA4-100132,USR-1066,2025-08-21,GGOEAAEB099214,Chrome Dino Socks,Apparel,1,12.5,12.5,Direct,NY,Completed
GA4-100133,USR-5718,2025-09-21,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,1,65.0,65.0,Organic Search,CO,Completed
GA4-100134,USR-3660,2025-01-06,GGOEGAAB010516,Android Collectible Figurine,Accessories,1,18.0,18.0,Direct,VA,Completed
GA4-100135,USR-3362,2025-12-31,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,1,99.99,99.99,Organic Search,FL,Completed
GA4-100136,USR-3324,2025-07-17,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,1,99.99,99.99,Organic Search,VA,Completed
GA4-100137,USR-3870,2025-05-17,GGOEGFXQ016399,Pixel Stand Wireless Charger,Electronics,1,79.0,79.0,Organic Search,IL,Completed
GA4-100138,USR-3595,2025-08-11,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,1,99.99,99.99,Social,WA,Completed
GA4-100139,USR-6966,2025-05-14,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,1,99.99,99.99,Organic Search,TX,Completed
GA4-100140,USR-6560,2025-07-13,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,1,65.0,65.0,Paid Search,IL,Completed
GA4-100141,USR-7469,2025-04-28,GGOEGAAB010516,Android Collectible Figurine,Accessories,1,18.0,18.0,Direct,CA,Completed
GA4-100142,USR-7283,2025-02-16,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Organic Search,IL,Completed
GA4-100143,USR-2917,2025-05-19,GGOEGAAB010516,Android Collectible Figurine,Accessories,1,18.0,18.0,Direct,FL,Completed
GA4-100144,USR-5785,2025-01-10,GGOEGBJR013999,Google Stainless Steel Water Bottle,Drinkware,1,22.0,22.0,Social,VA,Completed
GA4-100145,USR-4713,2025-03-25,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Organic Search,CO,Completed
GA4-100146,USR-2994,2025-02-07,GGOEGFXQ016399,Pixel Stand Wireless Charger,Electronics,2,79.0,158.0,Organic Search,IL,Completed
GA4-100147,USR-7461,2025-08-24,GGOEAAEB099214,Chrome Dino Socks,Apparel,1,12.5,12.5,Referral,CO,Completed
GA4-100148,USR-3635,2025-02-04,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Direct,VA,Completed
GA4-100149,USR-4850,2025-12-27,GGOEGBJR013999,Google Stainless Steel Water Bottle,Drinkware,1,22.0,22.0,Organic Search,IL,Completed
GA4-100150,USR-7148,2025-12-05,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,2,26.5,53.0,Organic Search,NC,Completed
GA4-100151,USR-3136,2025-10-23,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,1,65.0,65.0,Organic Search,TX,Completed
GA4-100152,USR-6984,2025-01-23,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Paid Search,MA,Completed
GA4-100153,USR-5033,2025-11-05,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,1,65.0,65.0,Direct,FL,Completed
GA4-100154,USR-6765,2025-03-08,GGOEGFXQ016399,Pixel Stand Wireless Charger,Electronics,1,79.0,79.0,Referral,WA,Completed
GA4-100155,USR-6742,2025-06-06,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Paid Search,WA,Completed
GA4-100156,USR-3204,2025-02-07,GGOEFAAB010617,Google Rainbow Enamel Pin,Accessories,1,6.5,6.5,Organic Search,MA,Completed
GA4-100157,USR-3336,2025-09-11,GGOEGAAB010516,Android Collectible Figurine,Accessories,1,18.0,18.0,Referral,NC,Completed
GA4-100158,USR-3912,2025-04-28,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,1,99.99,99.99,Organic Search,VA,Completed
GA4-100159,USR-7158,2025-06-06,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,1,65.0,65.0,Organic Search,NY,Completed
GA4-100160,USR-1094,2025-04-25,GGOEYHPB098810,YouTube Crewneck Sweatshirt,Apparel,1,48.0,48.0,Referral,IL,Completed
GA4-100161,USR-6779,2025-01-11,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,1,26.5,26.5,Organic Search,MA,Completed
GA4-100162,USR-1814,2025-12-12,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,1,26.5,26.5,Direct,CO,Completed
GA4-100163,USR-2639,2025-11-12,GGOEGAAB010516,Android Collectible Figurine,Accessories,2,18.0,36.0,Referral,IL,Completed
GA4-100164,USR-6959,2025-05-07,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,2,26.5,53.0,Organic Search,CO,Completed
GA4-100165,USR-6109,2025-02-20,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,2,65.0,130.0,Display,CA,Completed
GA4-100166,USR-3861,2025-04-11,GGOEGBJR013999,Google Stainless Steel Water Bottle,Drinkware,1,22.0,22.0,Organic Search,MA,Completed
GA4-100167,USR-3872,2025-01-01,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,1,99.99,99.99,Direct,IL,Completed
GA4-100168,USR-4502,2025-11-05,GGOEFAAB010617,Google Rainbow Enamel Pin,Accessories,1,6.5,6.5,Referral,NC,Completed
GA4-100169,USR-6032,2025-10-18,GGOEGAAB010516,Android Collectible Figurine,Accessories,1,18.0,18.0,Display,NY,Completed
GA4-100170,USR-4281,2025-12-13,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Organic Search,TX,Completed
GA4-100171,USR-2205,2025-06-01,GGOEFAAB010617,Google Rainbow Enamel Pin,Accessories,1,6.5,6.5,Organic Search,VA,Completed
GA4-100172,USR-6280,2025-06-26,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,1,99.99,99.99,Organic Search,CA,Completed
GA4-100173,USR-1966,2025-12-03,GGOEGAAB010516,Android Collectible Figurine,Accessories,1,18.0,18.0,Direct,FL,Completed
GA4-100174,USR-6182,2025-07-08,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,1,65.0,65.0,Direct,MA,Completed
GA4-100175,USR-3482,2026-01-14,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,2,65.0,130.0,Organic Search,CA,Completed
GA4-100176,USR-5524,2025-10-13,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,1,65.0,65.0,Organic Search,TX,Completed
GA4-100177,USR-4057,2025-07-13,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,1,99.99,99.99,Organic Search,FL,Completed
GA4-100178,USR-1946,2025-11-15,GGOEGAAB010516,Android Collectible Figurine,Accessories,1,18.0,18.0,Paid Search,MA,Completed
GA4-100179,USR-5895,2025-09-23,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,2,26.5,53.0,Direct,CA,Completed
GA4-100180,USR-7230,2025-02-24,GGOEAAEB099214,Chrome Dino Socks,Apparel,2,12.5,25.0,Organic Search,CO,Completed
GA4-100181,USR-3806,2025-11-19,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,1,65.0,65.0,Direct,VA,Completed
GA4-100182,USR-4310,2025-08-17,GGOEYHPB098810,YouTube Crewneck Sweatshirt,Apparel,2,48.0,96.0,Direct,VA,Completed
GA4-100183,USR-3143,2025-03-29,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,2,65.0,130.0,Social,WA,Completed
GA4-100184,USR-1164,2025-07-01,GGOEGBJR013999,Google Stainless Steel Water Bottle,Drinkware,1,22.0,22.0,Organic Search,NY,Completed
GA4-100185,USR-7150,2025-11-26,GGOEGFXQ016399,Pixel Stand Wireless Charger,Electronics,1,79.0,79.0,Paid Search,TX,Completed
GA4-100186,USR-6667,2025-10-12,GGOEAAEB099214,Chrome Dino Socks,Apparel,2,12.5,25.0,Paid Search,WA,Completed
GA4-100187,USR-4594,2025-08-22,GGOEAAEB099214,Chrome Dino Socks,Apparel,1,12.5,12.5,Organic Search,WA,Completed
GA4-100188,USR-7404,2025-10-20,GGOEGDHH087299,Nest Audio Smart Speaker,Electronics,2,99.99,199.98,Organic Search,IL,Completed
GA4-100189,USR-6986,2025-12-08,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,1,65.0,65.0,Direct,MA,Completed
GA4-100190,USR-5223,2025-08-12,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Direct,CO,Completed
GA4-100191,USR-3599,2025-08-25,GGOEFAAB010617,Google Rainbow Enamel Pin,Accessories,1,6.5,6.5,Organic Search,WA,Completed
GA4-100192,USR-1441,2025-01-29,GGOEAAEB099214,Chrome Dino Socks,Apparel,1,12.5,12.5,Organic Search,NY,Completed
GA4-100193,USR-3175,2025-12-07,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,1,26.5,26.5,Organic Search,CA,Completed
