order_id,customer_id,order_date,product_id,product_name,category,quantity,unit_price,total_amount,shipping_state,payment_method,acquisition_channel,order_status
OLIST-100052,CUST-BR-5451,2017-01-14,PRD-MOVE-257,Furniture & Decor Item,Furniture & Decor,1,86.33,86.33,SP,credit_card,Marketplace Direct,Completed
OLIST-100053,CUST-BR-6794,2018-03-16,PRD-RELO-144,Watches & Gifts Item,Watches & Gifts,1,249.7,249.7,SP,credit_card,Marketplace Direct,Completed
OLIST-100054,CUST-BR-6718,2018-08-30,PRD-BELE-200,Health & Beauty Item,Health & Beauty,1,108.83,108.83,BA,boleto,Marketplace Direct,Completed
OLIST-100055,CUST-BR-5760,2018-05-27,PRD-MOVE-885,Furniture & Decor Item,Furniture & Decor,1,78.76,78.76,SP,credit_card,Marketplace Direct,Completed
OLIST-100056,CUST-BR-4367,2017-11-02,PRD-CAMA-286,"Bed, Bath & Table Item","Bed, Bath & Table",1,79.35,79.35,RJ,boleto,Marketplace Direct,Completed
OLIST-100057,CUST-BR-6565,2017-07-31,PRD-ESPO-847,Sports & Leisure Item,Sports & Leisure,1,126.73,126.73,MG,credit_card,Marketplace Direct,Completed
OLIST-100058,CUST-BR-2359,2017-04-11,PRD-CAMA-209,"Bed, Bath & Table Item","Bed, Bath & Table",1,117.57,117.57,RS,credit_card,Marketplace Direct,Completed
OLIST-100059,CUST-BR-2796,2017-03-15,PRD-RELO-673,Watches & Gifts Item,Watches & Gifts,1,300.02,300.02,SP,credit_card,Marketplace Direct,Completed
OLIST-100060,CUST-BR-3229,2018-05-06,PRD-ESPO-452,Sports & Leisure Item,Sports & Leisure,1,63.87,63.87,SP,credit_card,Marketplace Direct,Completed
OLIST-100061,CUST-BR-2554,2018-07-28,PRD-CAMA-583,"Bed, Bath & Table Item","Bed, Bath & Table",1,82.7,82.7,RS,credit_card,Marketplace Direct,Completed
OLIST-100062,CUST-BR-5420,2017-12-18,PRD-RELO-160,Watches & Gifts Item,Watches & Gifts,1,177.23,177.23,GO,credit_card,Marketplace Direct,Completed
OLIST-100063,CUST-BR-3396,2016-12-28,PRD-CAMA-502,"Bed, Bath & Table Item","Bed, Bath & Table",1,105.8,105.8,PE,credit_card,Marketplace Direct,Completed
OLIST-100064,CUST-BR-2513,2017-06-10,PRD-MOVE-645,Furniture & Decor Item,Furniture & Decor,1,90.99,90.99,PE,boleto,Marketplace Direct,Completed
OLIST-100065,CUST-BR-4021,2017-06-02,PRD-MOVE-111,Furniture & Decor Item,Furniture & Decor,1,100.5,100.5,SP,boleto,Marketplace Direct,Completed
OLIST-100066,CUST-BR-1095,2017-06-19,PRD-CAMA-255,"Bed, Bath & Table Item","Bed, Bath & Table",1,85.64,85.64,SP,credit_card,Marketplace Direct,Completed
OLIST-100067,CUST-BR-3141,2016-11-08,PRD-ESPO-606,Sports & Leisure Item,Sports & Leisure,1,122.53,122.53,DF,credit_card,Marketplace Direct,Completed
OLIST-100068,CUST-BR-2778,2018-03-29,PRD-MOVE-908,Furniture & Decor Item,Furniture & Decor,1,119.18,119.18,MG,voucher,Marketplace Direct,Completed
OLIST-100069,CUST-BR-2483,2018-06-21,PRD-ESPO-833,Sports & Leisure Item,Sports & Leisure,1,115.38,115.38,SP,credit_card,Marketplace Direct,Completed
OLIST-100070,CUST-BR-5552,2017-03-14,PRD-CAMA-436,"Bed, Bath & Table Item","Bed, Bath & Table",1,88.71,88.71,RJ,credit_card,Marketplace Direct,Completed
OLIST-100071,CUST-BR-1740,2017-07-18,PRD-MOVE-886,Furniture & Decor Item,Furniture & Decor,1,98.5,98.5,SC,credit_card,Marketplace Direct,Completed
OLIST-100072,CUST-BR-5375,2018-06-02,PRD-MOVE-754,Furniture & Decor Item,Furniture & Decor,1,65.6,65.6,SP,credit_card,Marketplace Direct,Completed
OLIST-100073,CUST-BR-6448,2018-02-27,PRD-INFO-113,Computers & Tech Item,Computers & Tech,1,167.65,167.65,SP,boleto,Marketplace Direct,Completed
OLIST-100074,CUST-BR-5375,2018-08-29,PRD-MOVE-603,Furniture & Decor Item,Furniture & Decor,1,136.87,136.87,GO,credit_card,Marketplace Direct,Completed
OLIST-100075,CUST-BR-7146,2018-05-03,PRD-RELO-980,Watches & Gifts Item,Watches & Gifts,1,172.09,172.09,PE,credit_card,Marketplace Direct,Completed
OLIST-100076,CUST-BR-1516,2018-01-23,PRD-BELE-590,Health & Beauty Item,Health & Beauty,1,105.03,105.03,RS,credit_card,Marketplace Direct,Completed
OLIST-100077,CUST-BR-2331,2016-10-03,PRD-MOVE-791,Furniture & Decor Item,Furniture & Decor,1,21.91,21.91,RJ,credit_card,Marketplace Direct,Completed
OLIST-100078,CUST-BR-4691,2017-05-05,PRD-INFO-728,Computers & Tech Item,Computers & Tech,1,143.31,143.31,PE,credit_card,Marketplace Direct,Completed
OLIST-100079,CUST-BR-4153,2017-09-26,PRD-MOVE-239,Furniture & Decor Item,Furniture & Decor,1,99.83,99.83,SP,credit_card,Marketplace Direct,Completed
OLIST-100080,CUST-BR-2238,2017-05-03,PRD-CAMA-826,"Bed, Bath & Table Item","Bed, Bath & Table",1,135.24,135.24,SP,credit_card,Marketplace Direct,Completed
OLIST-100081,CUST-BR-7080,2017-10-05,PRD-MOVE-983,Furniture & Decor Item,Furniture & Decor,1,117.75,117.75,SP,credit_card,Marketplace Direct,Completed
OLIST-100082,CUST-BR-8489,2017-09-08,PRD-MOVE-739,Furniture & Decor Item,Furniture & Decor,1,123.91,123.91,BA,credit_card,Marketplace Direct,Completed
OLIST-100083,CUST-BR-4667,2018-08-11,PRD-MOVE-647,Furniture & Decor Item,Furniture & Decor,1,40.3,40.3,SP,debit_card,Marketplace Direct,Completed
OLIST-100084,CUST-BR-8304,2018-08-27,PRD-BELE-267,Health & Beauty Item,Health & Beauty,1,81.6,81.6,PE,credit_card,Marketplace Direct,Completed
OLIST-100085,CUST-BR-6579,2016-11-08,PRD-MOVE-497,Furniture & Decor Item,Furniture & Decor,1,106.31,106.31,SP,boleto,Marketplace Direct,Completed
OLIST-100086,CUST-BR-1973,2018-04-23,PRD-BELE-693,Health & Beauty Item,Health & Beauty,1,119.01,119.01,PE,credit_card,Marketplace Direct,Completed
OLIST-100087,CUST-BR-2128,2018-07-11,PRD-ESPO-578,Sports & Leisure Item,Sports & Leisure,1,118.02,118.02,SP,boleto,Marketplace Direct,Completed
OLIST-100088,CUST-BR-6014,2018-03-29,PRD-INFO-537,Computers & Tech Item,Computers & Tech,1,125.78,125.78,SC,credit_card,Marketplace Direct,Completed
OLIST-100089,CUST-BR-2901,2018-04-27,PRD-MOVE-570,Furniture & Decor Item,Furniture & Decor,1,71.11,71.11,SP,credit_card,Marketplace Direct,Completed
OLIST-100090,CUST-BR-5323,2017-03-12,PRD-INFO-830,Computers & Tech Item,Computers & Tech,1,198.71,198.71,DF,credit_card,Marketplace Direct,Completed
OLIST-100091,CUST-BR-7510,2017-11-21,PRD-CAMA-677,"Bed, Bath & Table Item","Bed, Bath & Table",1,104.78,104.78,RJ,debit_card,Marketplace Direct,Completed
OLIST-100092,CUST-BR-1633,2018-01-10,PRD-BELE-524,Health & Beauty Item,Health & Beauty,1,81.32,81.32,RJ,credit_card,Marketplace Direct,Completed
OLIST-100093,CUST-BR-5984,2017-01-30,PRD-ESPO-501,Sports & Leisure Item,Sports & Leisure,1,120.82,120.82,SP,credit_card,Marketplace Direct,Completed
OLIST-100094,CUST-BR-5873,2017-06-21,PRD-BELE-439,Health & Beauty Item,Health & Beauty,1,113.23,113.23,PR,credit_card,Marketplace Direct,Completed
OLIST-100095,CUST-BR-7003,2017-05-28,PRD-ESPO-177,Sports & Leisure Item,Sports & Leisure,1,150.69,150.69,SC,credit_card,Marketplace Direct,Completed
OLIST-100096,CUST-BR-7189,2017-11-13,PRD-CAMA-792,"Bed, Bath & Table Item","Bed, Bath & Table",1,78.62,78.62,BA,credit_card,Marketplace Direct,Completed
OLIST-100097,CUST-BR-6007,2016-12-07,PRD-MOVE-994,Furniture & Decor Item,Furniture & Decor,1,99.05,99.05,SP,credit_card,Marketplace Direct,Completed
OLIST-100098,CUST-BR-6205,2018-04-23,PRD-MOVE-680,Furniture & Decor Item,Furniture & Decor,1,82.27,82.27,SP,credit_card,Marketplace Direct,Completed
OLIST-100099,CUST-BR-3073,2017-06-11,PRD-RELO-566,Watches & Gifts Item,Watches & Gifts,1,129.4,129.4,PE,boleto,Marketplace Direct,Completed
OLIST-100100,CUST-BR-3978,2018-07-05,PRD-ESPO-797,Sports & Leisure Item,Sports & Leisure,1,127.2,127.2,RS,boleto,Marketplace Direct,Completed
OLIST-100101,CUST-BR-8279,2017-05-13,PRD-CAMA-195,"Bed, Bath & Table Item","Bed, Bath & Table",1,88.06,88.06,RS,credit_card,Marketplace Direct,Completed
OLIST-100102,CUST-BR-7359,2016-10-28,PRD-MOVE-459,Furniture & Decor Item,Furniture & Decor,1,89.18,89.18,SP,boleto,Marketplace Direct,Completed
OLIST-100103,CUST-BR-1178,2017-02-06,PRD-BELE-212,Health & Beauty Item,Health & Beauty,1,166.92,166.92,DF,boleto,Marketplace Direct,Completed
OLIST-100104,CUST-BR-1701,2017-02-11,PRD-ESPO-563,Sports & Leisure Item,Sports & Leisure,1,131.27,131.27,SP,credit_card,Marketplace Direct,Completed
OLIST-100105,CUST-BR-6268,2016-12-20,PRD-INFO-253,Computers & Tech Item,Computers & Tech,1,121.43,121.43,RJ,credit_card,Marketplace Direct,Completed
OLIST-100106,CUST-BR-2221,2018-05-21,PRD-INFO-647,Computers & Tech Item,Computers & Tech,1,160.05,160.05,PR,credit_card,Marketplace Direct,Completed
OLIST-100107,CUST-BR-6592,2017-11-23,PRD-INFO-888,Computers & Tech Item,Computers & Tech,1,154.58,154.58,SP,credit_card,Marketplace Direct,Completed
OLIST-100108,CUST-BR-3832,2017-12-25,PRD-RELO-393,Watches & Gifts Item,Watches & Gifts,1,258.3,258.3,RJ,credit_card,Marketplace Direct,Completed
OLIST-100109,CUST-BR-2612,2018-08-02,PRD-RELO-600,Watches & Gifts Item,Watches & Gifts,1,179.42,179.42,PR,boleto,Marketplace Direct,Completed
OLIST-100110,CUST-BR-1371,2016-11-21,PRD-CAMA-977,"Bed, Bath & Table Item","Bed, Bath & Table",1,112.67,112.67,RJ,credit_card,Marketplace Direct,Completed
OLIST-100111,CUST-BR-2836,2016-09-17,PRD-CAMA-456,"Bed, Bath & Table Item","Bed, Bath & Table",1,118.96,118.96,MG,credit_card,Marketplace Direct,Completed
OLIST-100112,CUST-BR-7331,2017-11-26,PRD-ESPO-523,Sports & Leisure Item,Sports & Leisure,1,68.74,68.74,SP,boleto,Marketplace Direct,Completed
OLIST-100113,CUST-BR-6211,2017-06-09,PRD-INFO-356,Computers & Tech Item,Computers & Tech,1,155.19,155.19,SP,boleto,Marketplace Direct,Completed
OLIST-100114,CUST-BR-7420,2018-04-14,PRD-INFO-147,Computers & Tech Item,Computers & Tech,1,206.78,206.78,DF,credit_card,Marketplace Direct,Completed
OLIST-100115,CUST-BR-1763,2018-08-13,PRD-RELO-840,Watches & Gifts Item,Watches & Gifts,1,243.23,243.23,SP,boleto,Marketplace Direct,Completed
OLIST-100116,CUST-BR-5257,2017-09-17,PRD-CAMA-689,"Bed, Bath & Table Item","Bed, Bath & Table",1,115.53,115.53,RJ,boleto,Marketplace Direct,Completed
OLIST-100117,CUST-BR-8299,2018-04-02,PRD-RELO-809,Watches & Gifts Item,Watches & Gifts,1,180.25,180.25,SP,credit_card,Marketplace Direct,Completed
OLIST-100118,CUST-BR-6045,2018-03-11,PRD-MOVE-956,Furniture & Decor Item,Furniture & Decor,1,103.71,103.71,SP,credit_card,Marketplace Direct,Completed
OLIST-100119,CUST-BR-3641,2018-03-14,PRD-RELO-705,Watches & Gifts Item,Watches & Gifts,1,193.67,193.67,SP,boleto,Marketplace Direct,Completed
OLIST-100120,CUST-BR-6507,2016-12-17,PRD-INFO-761,Computers & Tech Item,Computers & Tech,1,175.62,175.62,GO,credit_card,Marketplace Direct,Completed
OLIST-100121,CUST-BR-3765,2017-04-16,PRD-CAMA-129,"Bed, Bath & Table Item","Bed, Bath & Table",1,133.24,133.24,SP,credit_card,Marketplace Direct,Completed
OLIST-100122,CUST-BR-5629,2018-01-12,PRD-CAMA-357,"Bed, Bath & Table Item","Bed, Bath & Table",1,125.43,125.43,SP,credit_card,Marketplace Direct,Completed
OLIST-100123,CUST-BR-2759,2018-03-14,PRD-CAMA-834,"Bed, Bath & Table Item","Bed, Bath & Table",1,97.16,97.16,SP,credit_card,Marketplace Direct,Completed
OLIST-100124,CUST-BR-8178,2016-12-06,PRD-RELO-188,Watches & Gifts Item,Watches & Gifts,1,177.75,177.75,RJ,credit_card,Marketplace Direct,Completed
OLIST-100125,CUST-BR-7514,2017-08-24,PRD-INFO-565,Computers & Tech Item,Computers & Tech,1,138.03,138.03,DF,voucher,Marketplace Direct,Completed
OLIST-100126,CUST-BR-8250,2016-12-04,PRD-RELO-125,Watches & Gifts Item,Watches & Gifts,1,102.92,102.92,SP,credit_card,Marketplace Direct,Completed
OLIST-100127,CUST-BR-1567,2017-10-06,PRD-RELO-435,Watches & Gifts Item,Watches & Gifts,1,201.46,201.46,PE,credit_card,Marketplace Direct,Completed
OLIST-100128,CUST-BR-5008,2017-11-29,PRD-MOVE-852,Furniture & Decor Item,Furniture & Decor,1,94.57,94.57,MG,credit_card,Marketplace Direct,Completed
OLIST-100129,CUST-BR-6601,2018-06-21,PRD-CAMA-258,"Bed, Bath & Table Item","Bed, Bath & Table",1,121.99,121.99,SC,boleto,Marketplace Direct,Completed
OLIST-100130,CUST-BR-5354,2017-06-19,PRD-MOVE-863,Furniture & Decor Item,Furniture & Decor,1,66.3,66.3,SP,credit_card,Marketplace Direct,Completed
OLIST-100131,CUST-BR-2095,2018-06-18,PRD-RELO-576,Watches & Gifts Item,Watches & Gifts,1,181.68,181.68,RJ,credit_card,Marketplace Direct,Completed
OLIST-100132,CUST-BR-6774,2018-02-12,PRD-BELE-380,Health & Beauty Item,Health & Beauty,1,135.47,135.47,SP,credit_card,Marketplace Direct,Completed
OLIST-100133,CUST-BR-7730,2017-01-09,PRD-RELO-162,Watches & Gifts Item,Watches & Gifts,1,227.92,227.92,RS,boleto,Marketplace Direct,Completed
OLIST-100134,CUST-BR-4938,2017-02-12,PRD-ESPO-631,Sports & Leisure Item,Sports & Leisure,1,114.33,114.33,SP,credit_card,Marketplace Direct,Completed
OLIST-100135,CUST-BR-2930,2016-09-12,PRD-RELO-350,Watches & Gifts Item,Watches & Gifts,1,268.22,268.22,SP,credit_card,Marketplace Direct,Completed
OLIST-100136,CUST-BR-1652,2018-05-04,PRD-CAMA-289,"Bed, Bath & Table Item","Bed, Bath & Table",1,140.02,140.02,SP,credit_card,Marketplace Direct,Completed
OLIST-100137,CUST-BR-2112,2017-10-07,PRD-MOVE-226,Furniture & Decor Item,Furniture & Decor,1,53.3,53.3,MG,credit_card,Marketplace Direct,Completed
OLIST-100138,CUST-BR-6424,2016-12-03,PRD-MOVE-811,Furniture & Decor Item,Furniture & Decor,1,65.35,65.35,MG,credit_card,Marketplace Direct,Completed
OLIST-100139,CUST-BR-2396,2018-03-08,PRD-RELO-631,Watches & Gifts Item,Watches & Gifts,1,195.16,195.16,PE,credit_card,Marketplace Direct,Completed
OLIST-100140,CUST-BR-1032,2017-05-20,PRD-ESPO-199,Sports & Leisure Item,Sports & Leisure,1,84.2,84.2,SP,credit_card,Marketplace Direct,Completed
OLIST-100141,CUST-BR-7011,2017-09-13,PRD-MOVE-612,Furniture & Decor Item,Furniture & Decor,1,60.73,60.73,SP,credit_card,Marketplace Direct,Completed
OLIST-100142,CUST-BR-1588,2017-02-27,PRD-MOVE-376,Furniture & Decor Item,Furniture & Decor,1,54.72,54.72,BA,credit_card,Marketplace Direct,Completed
OLIST-100143,CUST-BR-7632,2016-12-14,PRD-ESPO-191,Sports & Leisure Item,Sports & Leisure,1,117.27,117.27,SP,credit_card,Marketplace Direct,Completed
OLIST-100144,CUST-BR-5273,2017-08-04,PRD-MOVE-456,Furniture & Decor Item,Furniture & Decor,1,96.81,96.81,RJ,credit_card,Marketplace Direct,Completed
OLIST-100145,CUST-BR-3315,2018-08-08,PRD-MOVE-794,Furniture & Decor Item,Furniture & Decor,1,65.21,65.21,MG,credit_card,Marketplace Direct,Completed
OLIST-100146,CUST-BR-8434,2017-01-23,PRD-ESPO-111,Sports & Leisure Item,Sports & Leisure,1,87.99,87.99,SP,credit_card,Marketplace Direct,Completed
OLIST-100147,CUST-BR-1609,2018-04-30,PRD-BELE-564,Health & Beauty Item,Health & Beauty,1,151.64,151.64,RJ,voucher,Marketplace Direct,Completed
OLIST-100148,CUST-BR-4458,2018-04-19,PRD-RELO-612,Watches & Gifts Item,Watches & Gifts,1,213.71,213.71,SP,boleto,Marketplace Direct,Completed
OLIST-100149,CUST-BR-2511,2017-04-12,PRD-ESPO-492,Sports & Leisure Item,Sports & Leisure,1,144.75,144.75,SP,boleto,Marketplace Direct,Completed
OLIST-100150,CUST-BR-2679,2017-10-24,PRD-INFO-528,Computers & Tech Item,Computers & Tech,1,141.63,141.63,SP,credit_card,Marketplace Direct,Completed
OLIST-100151,CUST-BR-3102,2017-06-20,PRD-RELO-146,Watches & Gifts Item,Watches & Gifts,1,337.89,337.89,RJ,credit_card,Marketplace Direct,Completed
OLIST-100152,CUST-BR-5430,2017-02-05,PRD-CAMA-889,"Bed, Bath & Table Item","Bed, Bath & Table",1,90.21,90.21,SP,boleto,Marketplace Direct,Completed
OLIST-100153,CUST-BR-7042,2017-04-25,PRD-MOVE-403,Furniture & Decor Item,Furniture & Decor,1,43.6,43.6,PE,credit_card,Marketplace Direct,Completed
OLIST-100154,CUST-BR-4687,2016-11-01,PRD-BELE-687,Health & Beauty Item,Health & Beauty,1,158.35,158.35,PR,credit_card,Marketplace Direct,Completed
OLIST-100155,CUST-BR-2814,2017-09-22,PRD-CAMA-781,"Bed, Bath & Table Item","Bed, Bath & Table",1,142.2,142.2,SP,credit_card,Marketplace Direct,Completed
OLIST-100156,CUST-BR-3297,2018-03-17,PRD-MOVE-132,Furniture & Decor Item,Furniture & Decor,1,93.43,93.43,SP,credit_card,Marketplace Direct,Completed
OLIST-100157,CUST-BR-5825,2017-11-02,PRD-RELO-587,Watches & Gifts Item,Watches & Gifts,1,71.84,71.84,RS,credit_card,Marketplace Direct,Completed
OLIST-100158,CUST-BR-7452,2017-10-28,PRD-RELO-121,Watches & Gifts Item,Watches & Gifts,1,232.51,232.51,PE,credit_card,Marketplace Direct,Completed
OLIST-100159,CUST-BR-7006,2017-12-03,PRD-INFO-310,Computers & Tech Item,Computers & Tech,1,140.78,140.78,SP,credit_card,Marketplace Direct,Completed
OLIST-100160,CUST-BR-3435,2017-09-28,PRD-BELE-814,Health & Beauty Item,Health & Beauty,1,183.56,183.56,RJ,boleto,Marketplace Direct,Completed
